Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Pedodontics,7. AIPG 2017 PEDODONTICS,1,Distal shoe space maintainer should be,1mm above mesial marginal ridge in unerupted 1st molar,1mm below mesial marginal ridge in unerupted 1st molar,2mm above mesial marginal ridge in unerupted 1st molar,2mm below mesial marginal ridge in unerupted 1st molar,B,"'B' [McDonalds 9th ed 564]
As first permanent molars erupt, considerable loss in arch length can occur if no second primary molar is present as an eruptive guide. Space loss of as much as 8 mm in a maxillary quadrant has been documented as the first permanent molar displaces forward through bodily crown-root movement and mesiolingual rotation around the palatal root. The appliance of choice is a distal shoe for both the maxillary and mandibular arches.

The wire incorporates a posterior wire-loop extension from the first primary molar that supports a vertical tissue blade positioned to contact and guide the erupting permanent molar into normal position. The depth of the intragingival extension should be about 1.0 to 1.5 mm beyond the mesial marginal ridge of the molar to ""capture"" the surface as the tooth erupts vertically. It has been observed that the soft tissue tolerates the blade extension well, although a small metallic ""tattoo"" in the gingiva may result.",
Pedodontics,7. AIPG 2017 PEDODONTICS,2,Most uncommon fracture seen in deciduous dentition,Avulsion,Root Fracture,Crown Fracture,Crown-root fracture,B,"'B' [Shobha Tandon 2nd ed 589/Pinkham 4th ed 244]
Root fracture rarely occurs in the primary dentition. In case of root fracture, coronal fragment should be extracted. Attempts to remove the apical fragment should be avoided as such action may harm the developing permanent successor. These apical fragments usually resorb as part of the physiologic process of tooth replacement.",
Pedodontics,7. AIPG 2017 PEDODONTICS,3,Splinting period for avulsive tooth is,4 weeks,2 weeks,6 weeks,8 weeks,B,"'B' [Shobha Tandon 2nd ed 597]
An avulsed tooth should be splinted with a semi rigid fixation for 7-10 days. A splinting technique that allows movement of the tooth during healing and that is in place for a minimal period results in a decreased incidence of ankylosis.",
Pedodontics,7. AIPG 2017 PEDODONTICS,4,Eruptive guidance appliance is also called as,Distal shoe,Nance palatal,Bar and loop,Transpalatal arch,A,"'A' [Shobha Tandon 2nd ed 459/McDonalds 9th ed 590]
Distal shoe space maintainer is also known as intravalveolar appliance or an eruption guidance appliance. The appliance is constructed when there is a premature loss of the second primary molar prior to the eruption of the first permanent molar.

Eruption positioning is another term used for positioning of an ectopic molar. The treatments of choice are watchful waiting, separators and distalizing appliances E.g., distalizing spring (Humphrey appliance) or using a fixed maxillary Halterman appliance.",
Pedodontics,7. AIPG 2017 PEDODONTICS,5,A 10 year old child met an accident and got traumatised left central incisor along with fracture and discoloration of the central incisor. The child has reported to the clinic after 6 months. The line of the treatment is,RCT,Pulpotomy,Extraction,Pulp capping,A,"'A' [Shobha Tandon 2nd ed 599]
Sequelae to permanent teeth injuries:
- Color change
- Infection and abscess
- Loss of space in the dental arch
- Ankylosis
- Resorption of the root
- Abnormal root development

Any indication of change in color with a delay in presentation places the pulp at high risk of degeneration. Color change of the pulp is one of the signs of degeneration. At the age of ten years the root is completed for the maxillary permanent anteriors and can be successfully managed by a root canal treatment.",
Pedodontics,7. AIPG 2017 PEDODONTICS,6,A child patient lost his maxillary central incisor. The treatment available will be,Lingual holding arch with fixed prosthesis,Lingual holding arch with removable prosthesis,Removable prosthesis,Preserve the lost space as it is,C,"'C' [Kennedy's 4th ed 4]
The effects of the premature loss of primary incisors on the developing occlusion:

Once the primary canines are fully erupted (at about age 3 years), no space loss is likely to follow removal of primary incisors. This does not apply to the period of infancy (under 3 years) when the retention of primary incisors prior to the eruption of primary canines is justified. This is because their early removal would encourage the primary canines to assume a more mesial position and thus impinge upon space for the permanent incisors. Their maintenance is also justified on the basis of appearance.

Option A and B Lingual holding arch is used for management of space in mandibular arch. Option 'D' To maintain the space lost as it is, is not an option as the permanent anterior teeth require more space for eruption into the arch.",
Pedodontics,7. AIPG 2017 PEDODONTICS,7,Difference in crown of primary and permanent molar teeth is,Thicker enamel,Prominent cusps,Equal crown to root ratio,Prominent cervical ridge,D,"'D' [Mc Donalds 9th ed 46]
Nelson has listed the following differences in form between the primary and permanent teeth:
- The crowns of the primary teeth are wider mesiodistally in comparison with crown length than are those of the permanent teeth.
- The roots of primary anterior teeth are narrow and long compared with crown width and length.
- The roots of the primary molars are relatively longer and more slender than the roots of the permanent teeth. There is also a greater extension of the primary roots mesiodistally. This ""flaring"" allows more room between the roots for the development of the premolar tooth crowns.
- The cervical ridge of the enamel at the cervical third of the anterior crowns is much more prominent labially and lingually in the primary than in the permanent teeth.
- The crowns and roots of primary molars are more slender mesiodistally at the cervical third than are those of the permanent molars.
- The cervical ridge on the buccal aspect of the primary molars is much more definite, particularly on the maxillary and mandibular first molars, than that on the permanent molars.",
Pedodontics,7. AIPG 2017 PEDODONTICS,8,Tooth brushing should be taught to children's at the age of,0-1 yr,2-3 yr,5-6 yr,>10 yr,B,"'B' [Shobha Tandon 2nd ed 255]
1-3 Years (Toddlers) is the best age to introduce toothbrush.",
Pedodontics,7. AIPG 2017 PEDODONTICS,9,Bite film in deciduous teeth,size zero,size 1,size 2,size 3,A,"'A' [McDonalds 9th ed 53]
A No.0 bite wing film is usually the most suitable size for the smaller patient. However, a few children mouths are large enough to receive even No.2 bite wing films.",
Pedodontics,7. AIPG 2017 PEDODONTICS,10,"In case of pulpotomy of a mandibular 2nd primary molar in a five year old child, which local anaesthetic technique is to be used?",Local infiltration,Block,Intrapulpal,PDL injection,B,"'B' [Kennedy's 4th ed 49]
The rule of 10:
The rule of 10 is used for determining which injection is appropriate, i.e., infiltration or inferior alveolar nerve block. The age of the child is added to the number of the tooth be restored, the first incisor being numbered 1 and the second primary incisor 2 and so on. If the total is less than 10, a buccal infiltration is sufficient. For example, if a treatment is required in the second mandibular primary molar (tooth number 5) in a 4 year old child then 4+5=9 therefore the infiltration is indicated. If the tooth is the first primary molar in a 7 years old child, then 7+4=11 and a mandibular block is indicated.",
