"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"General Surgery","1. Diseases of Salivary & Thyroid Glands","1","Which is the most common cause of hypothyroidism","Multinodular goiter","Lymphoma of thyroid","Autoimmune thyroiditis","Reidel's thyroiditis","C","'C' [B & L 23rd ed 711 / 24th ed 803]
Non goitrous form of autoimmune thyroiditis is called primary myxoedema and goitrous form is called hashimoto's disease. Presence of high serum titres of antithyroid antibodies is characteristic of autoimmune thyroiditis.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","2","The treatment of anaplastic carcinoma of thyroid is","Total thyroidectomy","Palliative radiotherapy","Radioactive","Tracheostomy","B","'B' [B & L 23rd ed 730-1 / 24th ed 801]
Anaplastic carcinoma of thyroid is highly undifferentiated and extremely lethal of all thyroid tumours. Aggressive lesions present with tracheal obstruction and require urgent tracheal decompression. Tracheostomy should be avoided and palliative radiotherapy provide a worth while treatment.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","3","The histopathologic feature of medullary carcinoma of thyroid is","Anaplasia","Mitotic figures","Psammoma bodies","Amyloid stroma","D","'D' [B & L 23rd ed 731 / 24th ed 801]
Medullary carcinoma is parafollicular (c) – cell derived neoplasm. Presence of amyloid stroma and high levels of serum calcitonin are characteristic of medullary carcinoma. Treatment is by total thyroidectomy and resection of involved lymph nodes.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","4","The most common level of thyroglossal cyst is:","Lingual","Infra-lingual (caecum)","Supra-hyoid","Infra-hyoid","D","'D' [B & L 23rd ed 708 / 24th ed 771,777]
The common situation in order of frequency of thyroglossal cyst are beneath the hyoid, in the region of thyroid cartilage, above the hyoid bone and opposite cricoid cartilage. It is always present in midline except in the region of thyroid cartilage where it is pushed to side.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","5","All the following are seen in thyrotoxicosis except","Tremor","Increased temperature","Slow pulse rate","Exophthalmos","C","'C' [B & L 23rd ed 719 / 24th ed 790]
Signs and symptoms of hyperthyroidism:
• Heat intolerance
• Palpitations
• Weight loss inspite of excessive appetite
• Tachycardia
• Exophtholmos
• Lid lag
• Insomina
• Muscle weakness

Signs and symptoms of hypothyroidism:
• Cold intolerance
• Weight gain
• Menstrual disturbance
• Bradycardia (slow pulse rate)
• Mental lethargy
• Carpal tunnel syndrome
• Delayed relaxation phase of ankle jerks.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","6","The cyst that moves by protruding the tongue is:","Thyroglossal cyst","Median rhomboid cyst","Ranula","Tracheal cyst","A","'A' [B & L 23rd ed 701 / 24th ed 777]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","7","A 45 year old woman has a nodule in the neck which moves during swallowing. The nodule most probably is attached to:","Thyroid","Larynx","Oesophagus","Pharynx","A","'A' [B & L 23rd ed 701 / 24th ed 777]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","8","Thyroglossal fistula is:","Lined by squamous epithelium","Causes a bulge in neck","Inflammatory lesion","Precancerous lesion","B","'B' [B & L 23rd ed 709 / 24th ed 778]
Thyroglossal fistula follows infection or inadequate removal of thyroglossal cyst. It is never congenital. It moves upwards on protrusion of tongue and is lined by columnar epithelium.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","9","Symptoms of hyperthyroidism include","Intolerance to cold","Decreased appetite","Weight gain","Palpitations.","D","'D' [B & L 23rd ed 719 / 24th ed 790]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","10","Symptoms of hypothyroidism:","Intolerance to heat","Diarrhoea","Loss of weight","Menstrual disturbance","D","'D' [B & L 23rd ed 711 / 24th ed 780]",""
