Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Pedodontics,5. DISEASES OF CHILD,1,All of the following statements about acute leukemia in children are true EXCEPT,It characteristically causes gross gingival swelling,It may be manifested by mucosal pallor,It can cause obvious purpura,It is usually of the lymphoblastic variety,A,"'A' [Shobha Tandon 1st ed 549, 667]
Leukemia in children is mostly of acute lymphoblastic variety. Gross gingival hyperplasia does not occur with lymphoblastic type. It is mostly the characteristic feature of monocytic and myeloblastic variety.",
Pedodontics,5. DISEASES OF CHILD,2,A child patient suspected of leukemia is suffering from periapical abscess line of treatment is,Endodontic therapy,Extraction of the involved tooth,Obtain a blood count before extraction,Obtain medical consultation before treatment.,D,'D' [Shobha Tandon 1st ed 667],
Pedodontics,5. DISEASES OF CHILD,3,"A preschool child has a definite yellow pigmentation of the primary teeth. Under ultraviolet light, the teeth have a faint overall yellow-green autofluorescence. The most likely diagnosis is:",Amelogenesis imperfecta,Hypoplasia of the primary teeth,Pigmentation associated with Erythroblastic fetalis,Tetracycline pigmentation,D,"'D' [Shobha Tandon 1st ed 719/ Mc Donald 8th ed 153]

<table border='1' cellpadding='4' cellspacing='0'><thead><tr><th colspan='2'>Intrinsic pigmentation of teeth is seen in</th></tr></thead><tbody><tr><td>Erythroblastosis fetalis</td><td>Blue green colour of primary teeth only. It is due to excessive hemolysis of RBC. The staining occurs due to diffusion of bilirubin and biliverdin into the dentin.</td></tr><tr><td>Porphyria</td><td>Purplish brown pigmentation. The other features are red colored urine, hypersensitivity to light and blisters on hands and face.</td></tr><tr><td>Cystic fibrosis</td><td>Yellowish gray to dark brown. It is due to tetracycline, which is the drug of choice in this disease.</td></tr><tr><td>Tetracycline</td><td>Yellow or yellow brown pigmentation in dentin and to a lesser extent in enamel that are calcifying during the time, the drug is administered. The teeth fluoresce yellow under UV light.</td></tr></tbody></table>",
Pedodontics,5. DISEASES OF CHILD,4,"In a child with a pre-existing cardio valvular disease, antibiotic prophylaxis should be administered before a dental extraction so as to prevent",Bacterial endocarditis,Congestive cardiac failure,Pneumonia,Rheumatic carditis,A,'A' [Shobha Tandon 1st ed 548],
Pedodontics,5. DISEASES OF CHILD,5,Which of the following is more common in children,Gingivitis,Periodontitis,ANUG,Pericoronitis,A,'A' [Shobha Tandon 1st ed 658],
Pedodontics,5. DISEASES OF CHILD,6,"In a child a combination of malnutrition steatorrhea, chronic respiratory infection, thyroid deficiency, a great salt loss through the skin and functional disturbances in secretary mechanisms of various glands is indicative",Cystic fibrosis,Starch intolerance,Pierre Robin Syndrome,Immune deficiency syndrome,A,"'A' [Shobha Tandon 1st ed 552]
Cystic fibrosis is a multisystem disease involving the exocrine glands. The features are chronic duct obstruction, airway infection and maldigestion. Defective gland secretions cause water and electrolyte imbalance.

Oral implications associated with CF include enamel hypoplasia and tooth discoloration (due to tetracycline treatment), salivary gland involvement, reduced incidence of dental caries, reservoir for potentially pathogenic respiratory bacteria, mouth breathing, and anterior open bite associated with nasal and sinus obstruction.

Dental Management:
Patients with pulmonary involvement may be more comfortable if appointments are kept short. They also may prefer to be maintained in an upright sitting position while being treated, since it often is necessary for them to clear secretions from the bronchi and trachea by coughing frequently.

Which of the following is correct about Cystic fibrosis? (PGI June-13)
a) Increased Caries
b) Tooth discoloration with tetracycline (correct answer)
c) Decreased Mouth breathing
d) Treatment is carried out in laying down position",
Pedodontics,5. DISEASES OF CHILD,7,A child with a fever of 102°F and vesicles in the oral cavity is probably suffering from,Herpes simplex type-I,Juvenile periodontitis,Acute herpetic gingivostomatitis,Neutropenia,C,'C' [Shobha Tandon 1st ed 661],
Pedodontics,5. DISEASES OF CHILD,8,Difficulty in grasping objects is characterised by which type of cerebral palsy,Dyskinetic,Ataxic,Spastic,Mixed,B,"'B' [Mc Donald 8th ed 544]
Poor sense of balance and uncoordinated voluntary movements like stumbling or staggering gait or difficulty in grasping objects are features of Ataxic cerebral palsy. Also check Q. No. 24",
Pedodontics,5. DISEASES OF CHILD,9,Which of the following may develop as a result of juvenile diabetes mellitus?,Ataxia,Aphasia,Deafness,Blindness,D,"'D' [MC Donald 8th ed 550]
Post natural causes of blindness in children:
- Diabetes
- Leukaemia
- Hypertension
- Premature birth
- Haemorrhagic disorders
- Glucoma

Prenatal causes:
- Syphilis
- Rubella
- TB meningitis
- Cataracts
- Optic atrophy",
Pedodontics,5. DISEASES OF CHILD,10,Flabby white lesions occur bilaterally on buccal mucosa of a five-year-old child. The lesions are a symptomatic the child's mother says this condition is seen in few other members of the family. The lesions are most likely:,Leukoplakia,Lichen planus,Submucous fibrosis,White sponge nerves,D,'D' [Shafer 4th ed 825],
Pedodontics,5. DISEASES OF CHILD,11,What unfavourable oral sequel is associated with prolonged use of antibiotics in children?,Aphthous ulcers,Acute necrotising gingivitis,Herpes simplex infection,Moniliasis,D,'D' [Shobha Tandon 1st ed 682],
Pedodontics,5. DISEASES OF CHILD,12,A 3-year-old child reports with fever. He has reddish yellow ulcers of the facial mucosa and tongue. He is most probably suffering from:,Erosive lichen planus,Acute herpetic gingivostomatitis,ANUG,Leukemia,B,'B' [Shobha Tandon 1st ed 661],
