"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"Complete Denture","Impression Procedures","1","In making a final impression for a complete denture, the most important area of the impression is","Ridge area of maxilla and buccal shelf of mandible","Lingual border area of mandible","Junction of hard and soft palate of maxilla and disto lingual area of mandible","Mid palatal area of maxilla and ridge of the mandible","C","'C' [Boucher's 10th ed 182,211 / Winkler 2nd ed 89,90]

The junction of hard and soft palate of maxilla and the disto lingual area of mandible are the most important areas since proper extension and seal in these regions is critical for retention and stability of the complete denture.",""
"Complete Denture","Impression Procedures","2","The stability of a mandibular complete denture will be enhanced when","The level of occlusal plane is above the dorsum of the tongue","The tongue rests on the occlusal surface","The lingual contour of the denture is concave","The posterior teeth on the denture have a broad buccolingual width","B","'B' [Boucher's 10th ed 176 / Winkler 2nd ed 50]

The dentures should be shaped and polished such that the tongue and cheek tends to seat rather than unseat the dentures. If the posterior teeth are too wide buccolingually the tongue and cheeks will unseat the dentures. When the tongue rests on the occlusal surface, it helps seat the mandibular denture, enhancing stability.",""
"Complete Denture","Impression Procedures","3","The primary, stress bearing area of maxillary complete denture is","Alveolar ridge","Buccal flange","Palate","Posterior palatal seal area","A","'A' [Boucher's 10th ed 151]

The compact bone in combination with tightly attached dense submucosa and keratinised mucosa makes the alveolar ridge area resistant to occlusal forces. Hence the alveolar ridge is the primary stress bearing area in the maxillary complete denture.",""
"Complete Denture","Impression Procedures","4","The mean denture bearing area in the edentulous mandible is approximately","12.25 cm² (14 cm² as per 12th ed)","16.25 cm²","18.42 cm²","22 cm²","A","'A' [Boucher's 12th ed 232]

According to the 12th edition, the average available denture base area for an edentulous mandible is 14 cm² and for maxilla is 24 cm².

Note: According to 10th edition the mean denture bearing area of edentulous mandible was reported as 12.25 cm².

Embedded question: The mean denture bearing area of the mandible and maxilla respectively is (MED-14)
a) 12.25 cm² and 24 cm²
b) 14 cm² and 24 cm² ← Correct (12th edition)
c) 14 mm² and 24 mm²
d) 24 cm² and 14 cm²",""
"Complete Denture","Impression Procedures","5","While taking impression of flabby fibrous tissue on maxillary ridge for complete denture care is taken to:","Use a tray with spacer","Not maintain intimate contact with tissues","Use a close fitting tray","Following normal procedures","A","'A' [Boucher's 10th ed 174, 224]

The flabby tissue will interfere with stability of denture. The best treatment is finger massage or surgical removal to improve the denture foundation area. While taking impression of flabby fibrous tissue, a tray with a spacer (window tray or sectional tray) is used so that the flabby tissue is not displaced and recorded in its resting position using mucostatic technique.",""
"Complete Denture","Impression Procedures","6","In primary impression the stock tray should be ___ mm larger than ridge.","2 mm","4 mm","6 mm","8 mm","C","'C' [Boucher's 12th ed 221 / Winkler 2nd ed 91]

If the tray is too large, it will distort the tissues around the borders of impression. If it is too small, the border tissues will collapse inward onto the residual ridge and thus reduce the support for the dentures. The stock tray should be approximately 6 mm larger than the ridge to allow adequate thickness of impression material.",""
"Complete Denture","Impression Procedures","7","Passive impression technique involves:","Impression with silicone","Impression compound","Impression plaster","Alginate","C","'C' [Boucher's 10th ed 224]

Passive impression technique is also known as mucostatic or pressure-less impression technique. It records the tissues with minimal distortion and causes the least possible displacement of tissues. There will be large amount of space between the tray and soft tissues. It uses a very fluid type of impression material. Impression plaster is the common material used in this technique.",""
"Complete Denture","Impression Procedures","8","Primary stress bearing area in mandibular edentulous ridge is:","Buccal shelf","Crest of the ridge","Retromolar pad","Lingual flange","A","'A' [Boucher's 12th ed 238]

The buccal shelf area is covered with cortical bone which is usually at right angles to occlusal forces. For this reason, it offers excellent resistance to occlusal forces and takes off the occlusal load imposed on the sharp narrow crest of the alveolar ridge. Hence the buccal shelf is the primary stress bearing area in the mandibular edentulous ridge.",""
"Complete Denture","Impression Procedures","9","Alginate at 20 degrees, the gel is formed in","3–4 mins.","6–8 mins.","15–16 mins.","1–2 min","A","'A' [Gurukeerat Singh 2nd ed 348]

The gelation temperature of alginate is in the range of 18–20 degrees Celsius. The fibrils of the gel are formed chemically by primary bonds.

The working time of alginate:
• Type 1 (fast set): 1.5–2 min
• Type 2 (slow set): 3–4 min

At 20 degrees, the gel formation (setting) occurs in approximately 3–4 minutes.",""
"Complete Denture","Impression Procedures","10","Retromolar pad:","Should not be covered by lower denture","Should be covered by lower denture","Has tendon of temporalis muscle attached to it","Disappears on eruption of mandibular last molars","C","'C' [Boucher's 12th ed 239]

Retromolar pad:
• The retromolar pad must be covered by denture to perfect the border seal in this region.
• Gives distal extension limit.
• Gives height of occlusal plane.
• This area contains glandular tissue and fibres of temporalis tendon, buccinator, superior pharyngeal constrictor and pterygomandibular raphae.
• All these limiting structures prevent placement of extra pressure on retromolar pad during impression procedures.
• The denture base should extend up to approximately one half to two thirds over the retromolar pad.
• Though retromolar pad provides stability, support and retention, the main objective of covering it is retention.

Retromolar pad does not have insertion of (AIPG-2015):
a) Fibers of buccinators  b) Medial pterygoid  c) Pterygomandibular raphe  d) Temporalis",""
