Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Oral Pathology & Medicine,Developmental Disturbances,1,A union of the roots of adjacent teeth through the cementum is referred to as,Concrescence,Fusion,Gemination,None of the above,A,"Gemination is an attempt to divide a single tooth germ before calcification, producing two crowns with a single root/root canal.",
Oral Pathology & Medicine,Developmental Disturbances,2,The term dilaceration refers to,A deformity of a tooth consisting of a sharp bend in the root,Abrasions on two surfaces of a single tooth,A root or tooth that is split into two,A tooth that is fractured at two or more places,A,"Dilaceration refers to a deformity of a tooth produced by a sharp bend, usually involving the root.",
Oral Pathology & Medicine,Developmental Disturbances,3,Peg-shaped incisors which taper towards the incisal edge are typically seen in all of the following conditions EXCEPT,Congenital syphilis,Rickets,Anhidrotic ectodermal dysplasia,Supernumerary teeth,B,"Peg-shaped incisors are associated with conditions such as congenital syphilis, but the listed exception is rickets.",
Oral Pathology & Medicine,Developmental Disturbances,4,"In erythema migrans, which papilla of tongue are absent?",Fungiform,Foliate,Filliform,Circumvallate,C,Erythema migrans (geographic/benign migratory glossitis) produces migrating areas of desquamation of the filiform papillae.,
Oral Pathology & Medicine,Developmental Disturbances,5,Globulomaxillary cyst is,Soft tissue cyst present often between maxillary lateral incisor and cuspid teeth,Often present between incisor and cuspid teeth but is a bone cyst,A cyst present between the midline of the palate,A cyst present in the incisive canal,B,The globulomaxillary cyst is classically described as a pear-shaped radiolucency between the maxillary lateral incisor and canine.,
Oral Pathology & Medicine,Developmental Disturbances,6,Which of the following features are of naso alveolar cyst,An ovoid shaped radiolucency above the lateral incisor and canine teeth,Erosion of base above lateral incisor and canine teeth,An inverted funnel shaped radiolucent lesion above the roots of lateral incisor and canine teeth,A pear shaped radiolucent lesion between roots of lateral incisor and canine teeth,B,The radiographic appearance helps distinguish the cysts: an inverted pear-shaped lesion between the lateral incisor and canine is characteristic of a globulomaxillary cyst.,
Oral Pathology & Medicine,Developmental Disturbances,7,"Facial edema, cheilitis granulomatosa and a fissured tongue characterize which of the following syndromes?",Frey,Melkerson-Rosenthal,Treacher Collins,None of the above,B,"Melkersson-Rosenthal syndrome has the classic triad of recurrent facial/lip swelling (cheilitis granulomatosa), facial palsy and fissured tongue.",
Oral Pathology & Medicine,Developmental Disturbances,8,Which of the following is a soft tissue cyst which do not produce any radiographic changes,Nasolabial cyst,Nasopalatine cyst,Mid alveolar cyst,Palatine cyst,A,The nasolabial (Klestadt’s) cyst is primarily a soft-tissue cyst and usually has no radiographic appearance; bone involvement is uncommon.,
Oral Pathology & Medicine,Developmental Disturbances,9,"The syndrome which consists of cleft palate, micrognathia and glossoptosis is known as",Marfan’s syndrome,Crouzon’s syndrome,Paget’s disease,Pierre-Robin syndrome,D,"Pierre Robin syndrome is characterized by micrognathia/retrognathia, cleft palate and glossoptosis with possible airway obstruction.",
Oral Pathology & Medicine,Developmental Disturbances,10,Developing ameloblasts are effected by the ingestion of high fluoride content water resulting in,Turner’s tooth,Hutchinson’s teeth,Mottled enamel,Moon’s molars,C,The source identifies mottled enamel as the developmental enamel change associated with excessive fluoride exposure during tooth development.,
