"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"Complete Denture","Special Techniques in Complete Dentures","1","When taking a reline impression for an upper denture, which is the most common error?","Failure to remove undercuts","Improperly rounded peripheries","Improper establishment of a post dam area","Changed centric occlusion","D","'D' [Winkler 2nd ed 344]

'D' [Winkler 2nd ed 344]",""
"Complete Denture","Special Techniques in Complete Dentures","2","Tissue conditioners are not used for long as they","Harden in mouth","Are expensive","Are difficult to fabricate","Cause ridge resorption","A","'A' [Winkler 2nd ed 87]

Tissue conditioners are highly plasticized acrylic resins that are applied temporarily to the fitting surface of a denture. They aid in rehabilitation of abused tissues. They are also used in the functional method of relining denture base. They tend to harden and toughen within 4-8 weeks due to loss of plasticizer.",""
"Complete Denture","Special Techniques in Complete Dentures","3","Which of the following should be treated by using a tissue conditioner material?","Tissue symptoms related to diabetes mellitus","Generalized ridge hyperplasia","Traumatized mucosa caused by ill fitting dentures","Sharp residual ridge in molar area","C","'C' [Winkler 2nd ed 82]

'C' [Winkler 2nd ed 82]",""
"Complete Denture","Special Techniques in Complete Dentures","4","Functional technique of relining and rebasing utilizes","Functional wax","Tissue conditioner","ZOE","Alginate","B","'B' [Boucher's 12th ed 478]

'B' [Boucher's 12th ed 478]",""
"Complete Denture","Special Techniques in Complete Dentures","5","Treatment resins are given for which type of edentulous ridges?","Abused ridges","Flabby ridges","Ridges with large tori on them","Ridges with bony resorption","A","'A' [Winkler 2nd ed 82]

'A' [Winkler 2nd ed 82]",""
"Complete Denture","Special Techniques in Complete Dentures","6","Tissue conditioners are temporary in nature as:","They cause trauma to ridge","They become hard after some time","They have to be replaced periodically","B and D","D","'D' [Winkler 2nd ed 87]

'D' [Winkler 2nd ed 87]",""
"Complete Denture","Special Techniques in Complete Dentures","7","During relining procedures fear lies in the alteration of","Balanced occlusion","Centric occlusion","Vertical dimension","Condylar guidance","C","'C' [Winkler 2nd ed 343]

'C' [Winkler 2nd ed 343]",""
"Complete Denture","Special Techniques in Complete Dentures","8","Tissue conditioners are temporary in nature as -","They cause damage to the ridge","They become hard after sometime","They have to be replaced periodically","Both B & C","D","'D' [Winkler 2nd ed 344]

'D' [Winkler 2nd ed 344]",""
"Complete Denture","Special Techniques in Complete Dentures","9","As compared to relining, in rebasing of a denture a change is effected in:","Centric occlusion","Centric relation","Entire denture base","Tissue surface","C","'C' [Winkler 10th ed 341]

Relining is the process of adding some material to the tissue side of a denture to fill the space between the tissue and the denture base. Thus relining is the correction of denture base and tissue relationship without changing the occlusal relation.
Rebasing is a process of replacing all the base material of a denture. The main disadvantage of relining and rebasing the complete denture is change in centric relation.",""
"Complete Denture","Special Techniques in Complete Dentures","10","Repair of denture without changing the occlusal relation is","Relining","Rebasing","Repairing of denture","Duplicating of denture","A","'A' [Boucher's 12th ed 471]

'A' [Boucher's 12th ed 471]",""
"Complete Denture","Special Techniques in Complete Dentures","11","Relining or rebasing of complete denture is required because","Denture base material abrades","Ridge resorption is a continuous phenomenon","It prolongs the useful life of the denture","All of the above","D","'D' [Boucher's 12th ed 471, 199]

'D' [Boucher's 12th ed 471, 199]",""
"Complete Denture","Special Techniques in Complete Dentures","12","Relining is done to:","correct base tissue relationship","correct occlusion","provide retention","following denture failure due to porosity","A","'A' [Winkler 2nd ed 341]

Relining is the process of adding some material to the tissue side of a denture to fill the space between the tissue and the denture base. Thus relining is the correction of denture base and tissue relationship without changing the occlusal relation.",""
"Complete Denture","Special Techniques in Complete Dentures","13","Jiffy denture is a type of","Interim immediate denture","Conventional complete denture","Fixed partial denture","Cast partial denture","A","'A' [Boucher 12th ed 123]

Currently, there are two popular types of immediate dentures:
• Conventional or classic immediate denture (CID): After this immediate denture is placed and after healing is completed, the denture is refitted or relined to serve as the long-term prosthesis.
• Interim or transitional immediate denture (IID): After this immediate denture is made and after healing is completed, a second, new complete denture is fabricated as the long-term prosthesis.

An abbreviated type of IID has been called as 'Jiffy Denture'. Jiffy denture differs from the IID in that the denture 'teeth' are usually made with tooth-colored, autopolymerizing acrylic resin or portions of the patient's preexisting fixed or removable partial denture(s). The main disadvantage of 'jiffy dentures' is that the materials used are not as long lasting (e.g., in wear and color stability) as conventional denture teeth and processed bases.",""
"Complete Denture","Special Techniques in Complete Dentures","14","What is the function of a template during procedure of tooth extraction and insertion of immediate denture?","Trimming the jagged edge of bone","Conditioning the tissues","To promote healing of socket","To take impression of the edentulous space","A","'A' [Boucher's 12th ed 149]

The transparent surgical template reveals the bony spicules on the ridge, which must be removed. Thus the template will minimize the amount of surgery needed and helps in proper fitting of denture.",""
"Complete Denture","Special Techniques in Complete Dentures","15","The use of selected initial roots in over denture therapy is called","Overlaying denture therapy","Biologic denture therapy","Submucosal vital root retention","Submerged denture therapy","C","'C' [Check Explanation Below]

In overdentures anterior abutments are preferred over posterior abutments since the anterior ridge is more vulnerable to resorption than the posterior ridge.",""
"Complete Denture","Special Techniques in Complete Dentures","16","The most important reason for retaining healthy roots and prescribing an over denture rather than extractions and a conventional complete denture is:","To preserve the alveolar bone","An over denture is easier to construct rather than a complete denture","The apparent ease with which the patient adapts to an over denture","To retain some degree of proprioception from the healthy periodontal ligament of the roots","A","'A' [Winkler 2nd ed 386]

'A' [Winkler 2nd ed 386]",""
"Complete Denture","Special Techniques in Complete Dentures","17","Main disadvantage of single complete denture against natural teeth is:","Abrasion of artificial teeth","Difficulty in making of balanced occlusion","Abrasion of natural teeth","All of the above","B","'B' [Boucher's 10th ed 568]

If porcelain teeth are used, there will be resorption of natural teeth. If acrylic teeth are used against natural teeth, there will be resorption of resin teeth, however acrylic resin teeth is a good compromise.",""
"Complete Denture","Special Techniques in Complete Dentures","18","Over denture used to","Preserve alveolar bone","Maintain proprioception from periodontal ligament","Retention","All of the above","D","'D' [Winkler 2nd ed 386]

Advantages of overdentures:
• Maintains the integrity of the residual ridge
• Improves retention and stability
• Improved proprioception
• If the abutment fails, the overdenture can be used as a conventional denture",""
"Complete Denture","Special Techniques in Complete Dentures","19","Ear prosthesis and ocular prosthesis is made from","Methyl methacrylate","Metallic implants","Silicone","Epoxy resin","C","'C' [Winkler 2nd ed 404]

'C' [Winkler 2nd ed 404]",""
"Complete Denture","Special Techniques in Complete Dentures","20","Tissue conditioning material is indicated when","Tissue symptoms are related to diabetes","Mucosa is inflamed due to ill fitting dentures","Mandibular tori is present","Large maxillary tori present","B","'B' [Winkler 2nd ed 82]

'B' [Winkler 2nd ed 82]",""
"Complete Denture","Special Techniques in Complete Dentures","21","Advantages of immediate dentures","Protection of extraction site","Maintenance of vertical height of occlusion","Improve stability","All of the above","D","'D' [Boucher's 12th ed 124]

The need for reline and the arrangement of anterior teeth without try-in are the main disadvantages of immediate dentures.",""
"Complete Denture","Special Techniques in Complete Dentures","22","True about over denture is","Anterior abutments are preferred over posterior abutments","Maintain proprioceptive impulses","Reduces ridge resorption","All of the above","D","'D' [Pair 2nd ed 386]

'D' [Pair 2nd ed 386]",""
"Complete Denture","Special Techniques in Complete Dentures","23","The advantages of overdenture are all of the following EXCEPT","Preservation of alveolar bone","Aesthetics","Retention","Support","B","'B' [Nallaswamy 1st ed 260 / Winkler 2nd ed 386]

'B' [Nallaswamy 1st ed 260 / Winkler 2nd ed 386]",""
"Complete Denture","Special Techniques in Complete Dentures","24","True about immediate denture is","The patient experiences less pain since the denture acts as splint","Occlusal correction should be done after 48 hrs","Avoid the psychological trauma of edentulous periods","All of the above","D","'D' [Boucher's 12th ed 124, 125]

After insertion, immediate dentures should be left in the mouth for the first 24 hrs. If the dentures are removed early before 24 hrs, it is very difficult to reinsert them because of severe pain.
The occlusal adjustment should be done after 48 hrs. after the swelling and inflammation is subsided. The dentures should be relined after calcification of extraction socket i.e., after 6-8 months.",""
"Complete Denture","Special Techniques in Complete Dentures","25","Boucher's method of relining is a","Open mouth technique","Chair side relining technique","Functional relining method","Closed mouth relining technique","A","'A' [Boucher's 12th ed 477]

Boucher's technique is a static, open mouth relining technique. In this method both the maxillary and mandibular dentures are relined at the same time. Uses zinc oxide eugenol as impression material.
Winkler's functional relining method utilizes tissue conditioners as impression material.
The chair side relining method makes use of acrylic that is added to the denture and allowed to set in the mouth to produce instant relining.",""
"Complete Denture","Special Techniques in Complete Dentures","26","Over dentures are indicated over retained roots instead of extracting them and making complete dentures because","To preserve the alveolar bone","To allow proprioception from the periodontal ligament of remaining teeth","Carrier for patient to adjust","All of the above","D","'D' [Winkler 2nd ed 386-387]

'D' [Winkler 2nd ed 386-387]",""
"Complete Denture","Special Techniques in Complete Dentures","27","One of the major disadvantage to immediate denture treatment is","Pain associated with treatment","Difficulty in managing occlusions","Need for reline","No control over tooth placement and shape","C","'C' [Boucher 12th ed 130, Box 9-2]

Disadvantages of immediate dentures:
• The fit, appearance or comfort is very difficult to predict.
• There is no try-in.
• Often require tissue conditions during healing phase.
• Need a definitive reline.",""
