"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"Dental Materials","Recent Papers 2018-19 Dental Materials","1","False about polymer crosslinking?","Crosslinking of low molecular weight polymer increase softening temperature","Crosslinking of high molecular weight polymer has modest increase in softening temperature","Increase resistance to solvents","It results in higher strength","D","'D' [Phillips' 12th ed 96]

Crosslinking forms bridges between chains and dramatically increases molecular weight. Consequently, physical and mechanical properties vary with the composition and extent of crosslinking for a given polymer system.

• The three-dimensional network of crosslinked polymers increases rigidity and resistance to solvents.
• Crosslinking of a low-molecular-weight polymer increases the softening temperature, known as the glass-transition temperature, compared with that of a high-molecular-weight polymer.
• On the other hand, crosslinking has only a modest influence on strength.",""
"Dental Materials","Recent Papers 2018-19 Dental Materials","2","When palladium added to gold alloy, all of the following happens except:","Increased corrosion resistance","Whitening of alloy","Decreased Modulus of elasticity","Increased melting temperature","C","'C' [Phillips' 12th ed 373]

Palladium is a noble metal of the platinum group in the periodic table of elements. Effects of adding palladium to gold:

• Palladium increases the strength, hardness, resistance to corrosion and tarnishing.
• In addition, it increases elastic modulus, strength and hardness of gold alloys and reduces their density.
• Palladium increases melting range and improves its resistance to sag.
• It has a great ability of bleaching (whitening), so that the alloy with 90% gold and 10% of palladium has platinum color.",""
"Dental Materials","Recent Papers 2018-19 Dental Materials","3","Function of fluoride flux in soldering","Prevention of copper oxide formation","Prevention of chromium oxide formation and dissolve formed chromium oxide","Prevention of flow of solder","Helps in free flow of solder","B","'B' [Refer recent 2017-18 AIPG paper]",""
"Dental Materials","Recent Papers 2018-19 Dental Materials","4","All are dental auxiliaries material except: -","Impression material","Ceramics","Investment material","Dental wax","B","'B' [Phillips' 12th ed 150]

Auxiliary dental materials are the materials used in the process of fabricating dental prosthesis. These include:
• Impression materials.
• Dental waxes, investment materials and casting procedures.
• Gypsum casts and model materials.
• Finishing and polishing abrasives.

Ceramic is a restorative dental material.",""
"Dental Materials","Recent Papers 2018-19 Dental Materials","5","In stress-strain curve, 1,2,3,4 represent","Plastic, dilatant, Newtonian, pseudoplastic","Pseudoplastic plastic, dilatant, Newtonian,","Pseudoplastic Newtonian, plastic, dilatant","Plastic, dilatant, pseudoplastic Newtonian","A","'A' [Phillips' 12th ed 32]

Curves depicting shear stress versus shear strain rate are used to characterize the viscous behaviour of fluids. The rheologic behaviours of four types of fluids are shown in the above figure.

Curve 1: Some classes of materials behave like a rigid body until some minimum value of shear stress is reached. This is represented by the offset along the shear-stress axis. These fluids, which exhibit rigid behavior initially and then attain constant viscosity, are referred to as plastic. Ketchup is a familiar example - a sharp blow to the bottle is usually required to produce an initial flow.

Curve 2: Liquids that show the opposite behavior are dilatant and become more rigid as the rate of deformation (shear strain rate) increases. That is, the faster they are stirred, the more viscous and resistant to flow they become.

Curve 3: An ""ideal"" fluid produces a shear stress proportional to the strain rate. That is, the greater the force applied, the faster the fluid flows and the plot is a straight line. This is known as Newtonian viscosity. Newtonian fluid has a constant viscosity and exhibits a constant slope of shear stress plotted against strain rate, as seen in figure. The plot is a straight line and resembles the elastic portion of a stress-strain curve.

Curve 4: The viscosity of many dental materials decreases with increasing strain rate until it reaches a nearly constant value. That is, the faster they are stirred, forced through a syringe, or squeezed, the less viscous and more fluid they become. This is pseudoplastic viscosity.","Stress-strain curve graph (Shear suess, τ vs Strain rate, ε) with 4 curves labelled 1–4 – Page 81"
"Dental Materials","Recent Papers 2018-19 Dental Materials","6","True about hydroquinone","Inhibitor used in polymer","Inhibitor used in monomer","Initiator used in monomer","Initiator used in polymer","B","'B' [Phillips' 12th ed 105]

• The addition of a small amount of a common inhibitor, such as hydroquinone, to the monomer inhibits spontaneous polymerization if no initiator is present and retards the polymerization in the presence of an initiator.
• Thus, inhibitors affect both the storage stability and the working time of a dental resin.
• For this reason, commercial dental resins commonly contain a small amount (approximately 0.006% or less) of an inhibitor such as the methyl ether of hydroquinone to aid in the prevention of polymerization during storage and, in the case of two-part (self-cure) systems, to provide adequate time for mixing and placement.",""
"Dental Materials","Recent Papers 2018-19 Dental Materials","7","The difference between the energy required to activate the wire by deflection and that released by it during deactivation is?","Bauschinger effect","Hysteresis","Springiness","Superelasticity","B","'B' [Craig 14th ed 37]

Properties of nickel titanium alloys are Hysteresis, Shape memory, and Super elasticity.

Hysteresis: When the wire is activated and the amount of force increases, the alloy transforms from the austenitic to the martensitic phase. When the force is removed, the wire follows a different path below that of activation and returns to the austenitic structure. The difference between these curves is called hysteresis. This defines the difference between the force given for activation and the force applied by the wire during deactivation. This also shows the level of force a wire delivers to the tooth. Clinically, low hysteresis is desired.

• Shape memory- refers to the ability of the material to ""remember"" its original shape after being plastically deformed while in the martensitic form. This property is also called Thermoelasticity.

• Super elasticity- Ability of a wire to deliver a near constant force over a wide range of activation. If stress is induced in the nickel-titanium alloy, the austenitic form changed to a martensitic form.

Note: Bauschinger effect is seen in stainless steel wires. It describes the reduction in yield stress of a metal when the direction of deformation is reversed.","Hysteresis graph (Stress vs Strain with Loading and Unloading curves) – Page 84"
"Dental Materials","Recent Papers 2018-19 Dental Materials","8","A patient wearing heat cure acrylic denture base, complains of burning sensation after 6 months of denture delivery. The most probable cause of his discomfort is?","Leaching of monomer","Allergy to monomer","Poor oral hygiene","Allergy to polymer","B","'B' [Identification of complete denture problems: a summary. British Dental Journal 2000; 189: 128–134]

The most common and frequently reported a problem with the patients having allergic reactions to denture base acrylic resin is mouth soreness and burning sensation. Areas presenting with burning sensation include the palate, tongue, oral mucosa, and the oropharynx.

The symptoms may be related to higher residual monomer content of acrylic. If excess residual monomer detected, it is advised to rebase the denture using controlled heat cure cycle. Also the dentist may need to consider remaking denture using polycarbonate resin.",""
"Dental Materials","Recent Papers 2018-19 Dental Materials","9","Which of the following statement regarding fineness of gold is not correct?","Fineness means gold content in noble metal alloys by the number of parts of gold per 1000 parts of alloy","Term carat and fineness are currently used to describe the gold content of current dental alloys","Carat specifies gold content of an alloys based on parts of gold per 24 part of alloy","75% pure gold means 750 fine alloy","B","'B' [Phillips' 12th ed 368]

Fineness is more practical than karat. Karat is parts of pure gold in 24 parts of alloy. Fineness means gold content in noble metal alloys by the number of parts of gold per 1000 parts of alloy. For example, pure gold has a fineness of 1000, and a 750 fine alloy has a gold content of 75%.",""
"Dental Materials","Recent Papers 2018-19 Dental Materials","10","Boric oxide is added to porcelain does all except","Form its own glass network","Lower softening temperature","Reduce viscosity","Increase viscosity","D","'D' [Phillips' 12th ed 432]

Boric oxide (B₂O₃) can behave as a glass modifier in ceramics to:
• decrease viscosity,
• lower the softening temperature, and
• form its own glass network.
• Because boric oxide forms a separate lattice interspersed with the silica lattice, it still interrupts the more rigid silica network and lowers the softening point of the glass.",""
"Dental Materials","Recent Papers 2018-19 Dental Materials","11","Not true regarding divestment","Phosphate bonded","Combination of die and investment","Colloidal silica is added to it","Decrease wax pattern distortion","A","'A' [Phillips' 12th ed 212]

Divestment:
• Divestment is a combination of die material and commercially available gypsum-bonded investing medium.
• Divestment is mixed with colloidal silica and die is made from this mix & and a wax pattern is constructed on it. After this, the wax pattern with die is invested in divestment.
• As the entire assembly (die and pattern) is invested in the divestment (normally the wax pattern is removed from the die and invested separately), it eliminates possibility of distortion of wax pattern while removing it from die.
• Because this type of investment is a gypsum-bonded material, it is not recommended for high-fusing alloys used for metal-ceramic restorations. However, it is a highly accurate technique for use with conventional gold alloys, especially those selected for extracoronal preparations.",""
