Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,1,"Subluxation in young permanent tooth, choice of treatment?",Flexible splinting for 2 weeks aid in healing periodontium,Flexible splinting for 4 weeks,Rigid splinting for 4 weeks aid in healing of periodontium,Rigid splinting for 4 weeks,A,"In subluxation, the tooth is sensitive to percussion and has increased mobility. Treatment initially may be none or it may be necessary to stabilize the tooth for a short period of time (2 to 3 weeks) to promote periodontal ligament recovery and reduction in mobility.<br><br><table border=""1"" cellpadding=""6"" cellspacing=""0"" style=""border-collapse:collapse;width:100%;font-size:13px""><tr style=""background:#e75480;color:#fff;font-weight:bold""><td>Type of injury</td><td>Splinting time</td><td>Splinting type</td></tr><tr><td>Subluxation</td><td>2 Weeks</td><td>Flexible splint</td></tr><tr><td>Extrusive luxation</td><td>2 weeks</td><td>Flexible splint</td></tr><tr><td>Lateral luxation</td><td>4 Weeks</td><td>Flexible splint</td></tr><tr><td>Intrusive luxation</td><td>4 Weeks</td><td>Flexible splint</td></tr><tr><td>Root fracture</td><td>4 Weeks</td><td>Flexible splint</td></tr><tr><td>Root fracture (cervical 1/3)</td><td>4 Months</td><td>Flexible splint</td></tr><tr><td>Avulsion</td><td>2 Weeks</td><td>Flexible splint</td></tr><tr><td>Avulsion. Dry time >60 minutes</td><td>4 Weeks</td><td>Flexible splint</td></tr><tr><td>Alveolar fracture</td><td>4 Weeks</td><td>No recommendation</td></tr></table>",
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,2,A 14 yr old suffers traumatic avulsion of 11 and 21 while playing hockey and immediately puts them back in sockets. He came to your clinic 15 mins later. The treatment is?,Remove from the socket and reimplant with splint,Only do physiologic splinting,do nothing,antibiotic and painkillers,A,"The ideal way to transport the tooth is to have it replaced in its socket, even though it needs to be repositioned in the dentist’s office. If an avulsed tooth can be replanted at the site of injury, the prognosis is better than waiting until the patient is transported to a treatment facility.<br><br>The following advice can be given over the telephone to someone able to assist the victim:<br>• Rinse the tooth in cold running water.<br>• Do not scrub the tooth.<br>• Replace the tooth in the socket.<br>• Bring the patient to the dental office right away to complete the treatment of replantation.<br><br>Note: Antibiotics should be administered after replantation. Coverage is for 5 to 7 days.",
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,3,Identify what is shown in IOPA,Aesthetic post & core,Cast metal post & core.,Pin retained amalgam restoration,Pin retained composite,B,"Classification of posts based on material:<br>Posts can be made from non-metallic materials and metals.<br><br><b>Non-Metallic:</b><br>• These posts show a lower incidence of root fracture due to their ability to resist high stress without permanent deformation and breaking.<br>• They should not be used if there is insufficient sound tooth tissue. The sound tooth tissue should be at least 1.5mm circumferentially further apical to the core.<br>• Also, more aesthetic than metal posts as their optical properties are closer to tooth tissue (except for carbon fibre posts due to the darker material).<br>• Non-metallic posts are easier to remove from teeth if needed than metal posts. Prefabricated non-metallic posts are most common in use but they can also be built up in the laboratory.<br><br><b>Zirconia:</b> Zirconia posts have high strength. However, they are brittle and have a high modulus which can potentially lead to root fracture. It can be difficult to remove the posts if needed.<br><br><b>Ceramic:</b> Ceramic posts are made from a brittle material. These posts can be too strong which can lead to root fracture. It can be difficult and even impossible to remove a ceramic post.<br><br><b>Fibre reinforced resins (FRC):</b> Fibre reinforced resins are a form of non-metallic posts and include carbon fibre, fiberglass and woven polyethylene ribbon-reinforced composites. These posts are more likely to fail as their fibres can fray.<br><br><b>Carbon fibre:</b> Carbon fibre posts show very little deformation and can absorb and transfer forces similarly to dentine. However, these posts can be dark in colour which may lead to an unaesthetic result as the post can shine through the tooth.<br><br><b>Glass fibre/Fibre glass:</b> Glass fibre Posts are less brittle than ceramic posts. Posts that have unidirectional fibres are the strongest. However, it is difficult to produce this type of material as fibre bundles require infiltration and wetting with resin. This process can often leave voids on the surface of the fibres, leading to a weakened structure.<br><br><b>Metallic:</b> Traditionally metal posts have been used due to the good corrosion resistance and high yield strength. They look more radiopaque. Some are serrated or threaded (prefabricated) and some are smooth (custom made cast metal) posts.<br><br><b>Prefabricated metal posts</b><br>• Stainless steel, titanium, titanium alloy and gold alloy are used to construct prefabricated posts.<br>• These types of posts are usually placed in the post space and the core is constructed with a direct restorative core material.<br>• There are also prefabricated posts for which cores are cast onto. These posts are usually made of Type IV gold alloy (containing gold, platinum, palladium and iridium) or platinum, gold and iridium alloys, which are compatible with palladium and silver-free alloys or platinum, gold, palladium and silver alloy.<br><br><b>Cast metal posts</b><br>Often a metal alloy such as Type IV gold alloy is used.<br><br><b>Radiographic appearance of posts:</b><br>• High radiopacity of a post makes radiographic visualization and verification easier and may reduce unwarranted retreatment of teeth.<br>• Earlier the aesthetic posts had radiopacity similar to that of dentin. Now they are available in a range of radiopacities.<br>• Metallic posts are highly radiopaque. Threaded posts will cast their threads in the radiograph.",Requires image: IOPA showing post and core (PDF p. 1)
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,4,IOPA image of 11-year-old with injury to Central incisor and pulp exposure reported to a dentist. What will be the ideal treatment plan?,Apexification,Apexogenesis,Apecoectomy,Extraction,B,"The age of the boy is 11 years, that means root maturation is still in process. The radiograph also shows the evidence of immature root apex and thin root canal walls. The boy immediately reported to the clinic, so the best treatment is doing an apexogenesis procedure.<br><br><b>Apexogenesis:</b><br>Refers to a vital pulp therapy procedure performed to encourage physiological development and formation of the root end.<br><br><b>Rationale:</b><br>• Maintenance of the integrity of the radicular pulp tissue to allow continued root growth.<br>• Root end development occurs in a tooth with a normal pulp and minimal inflammation.<br>• Pulp of immature teeth has significant reparative potential.<br>• Pulp revascularisation and repair occurs more efficiently in tooth with an open apex.<br>• Relatively thin dentin of immature roots and open apex are prone to fracture when attempted to do normal root canal treatment.<br><br><b>Goals:</b><br>• Sustaining a viable Hertwig’s sheath to allow continued development of root length for a favorable crown: root ratio.<br>• Maintaining pulp vitality to help maturation of root.<br>• Promoting root-end closure to create a natural apical constriction.<br>• Generating a dentinal bridge at the site of pupotomy. (a sign that the pulp has maintained its vitality).<br><br><b>Indications:</b><br>• Indicated for traumatized or pulpally involved vital permanent tooth when root apex is incompletely formed.<br>• No history of spontaneous pain.<br>• No sensitivity on percussion.<br>• No Hemorrhage.<br>• No periapical radiolucency.<br>• Traumatic Luxation.<br><br><b>Contraindications:</b><br>• Evidence that radicular pulp has undergone degenerative changes.<br>• Tooth with unfavourable horizontal root fracture i.e. close to gingival margin.<br>• Purulent drainage.<br>• History of prolonged pain.<br>• Necrotic debris in canal.<br>• Periapical Radiolucency.",Requires image: IOPA of immature central incisor with pulp exposure (PDF p. 1)
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,5,"In a 12-year-old female child, there was avulsion of a tooth which was reimplanted by a nearby dentist within 60 mins, the child has been taken to another dentist after one week, what should be done",Maintain oral hygiene and observe for 3 months.,Remove splint immediately and no other treatment is required.,Plan immediate RCT and remove splint,Splint retained for 4 weeks followed by RCT,C,"12-year child means we should assume the root is complete. If this is the case, after one week ideally the splint treatment should be started.<br><br><b>Protocol for endodontic treatment in different cases of avulsion:</b><br><br><b>1. Extra oral dry time < 60 min</b><br>• Closed apex- start RCT in the second week<br>• Open apex- avoid endodontic treatment and look for signs of revascularization. If pulp becomes infected, initiate apexification in the later week.<br><br><b>2. Extra oral dry time > 60 min</b><br>• Closed apex- start RCT in the second week<br>• Open apex- in this case the endodontic treatment should be preferably done outside the mouth before replantation. If endodontic treatment was not done before replantation, initiate apexification in the later week.<br><br>After the tooth is replanted in 60 minutes, stabilized with a splint. The splint should be removed, antibiotics are discontinued, and endodontic treatment should be preferably done outside the mouth before replantation if possible. If endodontic treatment was not done before replantation, initiate endodontic treatment and look for signs of revascularization.",
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,6,"A patient is having chronic, dull throbbing pain which patient is not able to localize. Which nerve endings are responsible for this?",A delta fibres,C fibres.,Plexus of Rashkow.,A beta,B,"A delta and C fibres of the pulp are nociceptors.<br><br><table border=""1"" cellpadding=""6"" cellspacing=""0"" style=""border-collapse:collapse;width:100%;font-size:13px""><tr style=""background:#e75480;color:#fff;font-weight:bold""><td>A delta fiber</td><td>C-fibres</td></tr><tr><td>Myelinated</td><td>Non-myelinated</td></tr><tr><td>Large, fast conducting, low threshold fibres</td><td>Small, high threshold fiber.</td></tr><tr><td>Intimate association with the odontoblastic cell layer and dentin (pulpo dentinal complex)</td><td>Not involved with pulpo dentinal complex. They are located centrally in the pulp stroma.</td></tr><tr><td>Quick, sharp momentary pain</td><td>Dull, throbbing poorly localized pain</td></tr><tr><td>Drilling, probing</td><td>Pain is associated with inflammatory tissue damage.</td></tr></table>",
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,7,"DPC is indicated for tooth and the dentist plan for re-visit, what will be the material used",MTA,Calcium hydroxide,Biodentine,Formocresol,A,"(Ca(OH)2 has been the material of choice for pulp capping but it has several disadvantages like, unsatisfactory adherence to dentin, dissolution over time, and multiple tunnel defects in the dentin bridges.<br><br>Mineral trioxide aggregate (MTA) is recommended as an alternative for Ca(OH)2 as the stimulation of dentin-bridge formation is faster allowing pulp healing and showed high success rates in clinical procedures. MTA is a bioactive, biocompatible, antibacterial material with good stability, and excellent sealing ability. However, its long setting time, poor handling properties, high material cost, and the discoloration potential remain a challenge to the practitioner. Slower setting and discoloration of dental tissues occurs.<br><br>Direct pulp capping can be done in one or two visits. In one visit DPC, the cavity will not be re-entered again. The most common materials used for one visit are Dycal (calcium hydroxide fast set), Biodentin.<br><br>The prolonged setting time of MTA happens to be a clinical weakness that may prevent its routine use as a DPC agent in single visit restoration of deeply carious teeth. MTA has been shown to be a reliable direct pulp capping (DPC) material on carious exposures in permanent teeth when two-visit treatment protocol was observed. As MTA setting time is long and needs moisture for setting, a moist cotton pellet will be placed over MTA capping material and temporary restoration will be placed.<br><br>After 24 hrs, the revisit should be planned, and a final restoration should be planned. Or else after a delay of 45 min, the final restoration can be given in the same visit.<br><br>In the present question since the dentist planned a revisit suggests that he used MTA for DPC. Formocresol is not very suitable as DPC agent.",
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,8,C-shaped canals are present in?,Maxillary molar,Mand. incisor> Mand. 1st molar > Mand. 3rd molar,Maxillary third molar>maxillary second molar,Mand. 2nd molar > Mand. 1st molar >Mand. 3rd molar,D,C shaped canals are seen in teeth which has higher incidence of root fusion. C shaped canals are formed from the fusion of the mesial and distal roots on either the buccal or the lingual root surfaces. The order of C-shaped canals are:<br>Mandibular second molar > mandibular first molar > mandibular 3rd molar > maxillary 2nd molar > maxillary 3rd molar > mandibular premolar > lateral incisor.,
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,9,Which of the following methods is used to sterilize guttapercha:,Gas sterilization,Steam sterilization,Ethyl alcohol,Quaternary ammonium compounds,C,"Gutta-percha points, due to their chemical and physical properties are not amenable to the usual methods of physical sterilization in an autoclave or hot air oven. Therefore, chemical sterilization is mandatory for effective sterilization of gutta-percha points. Sequeira et al studied the effectiveness of 4 chemical solutions in eliminating B. subtilis spores on gutta-percha cones. The solutions tested were 5.25% Sodium hypochlorite, 2% Glutaraldehyde, 2% Chlorhexidine gluconate and 70% Ethyl alcohol. The results showed that 5.25% Sodium hypochlorite was effective in destroying the spores after one minute of immersion time. Among the options provided ethyl alcohol is the best pick.",
Endodontics,10. RECENT PAPERS 2017-18 ENDODONTICS,10,Property exhibited by NiTi wires is?,Viscoelasticity,Pseudoelasticity,Pseudoplasticity,Non superelasticity,B,"Pseudoelasticity, sometimes called superelasticity, is an elastic (reversible) response to an applied stress, caused by a phase transformation between the austenitic and martensitic phases of a crystal. It is exhibited in shape-memory alloys like Ni-Ti. Superelastic alloys belong to the larger family of shape-memory alloys. When mechanically loaded, a superelastic alloy deforms reversibly to very high strains (up to 10%) by the creation of a stress-induced phase. When the load is removed, the new phase becomes unstable and the material regains its original shape.",
