"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"Operative Dentistry","1. Principles of Cavity Preparation","1","In class II cavity for inlay, the cavosurface margin of the gingival seat clears the adjacent tooth by","0.20 ± 0.05mm","0.50 ± 0.20mm","0.80 ± 0.35mm","1.10 ± 0.45mm","B","'B' [Sturdevant 5th SA ed 435/ 5th ed 303]
Gingival seat in class II restoration:
• Should extend apical to the proximal contact or caries whichever is greater.
• It should clear the adjacent tooth by 0.5mm.
• For amalgam restoration the gingival margin is beveled at 15 – 20° whereas for cast restorations it is beveled at 30 –40°.
• If gingival seat is located in root surface, beveling is contraindicated.

The facial and lingual walls of the proximal box are extended such that they clear the adjacent tooth by 0.2 – 0.3mm. The facial and lingual walls are placed in their respective embrasures.",""
"Operative Dentistry","1. Principles of Cavity Preparation","2","Cavities beginning in the proximal surfaces of bicuspids and molars are","Class 1","Class 2","Class 4","Class 6","B","'B' [Sturdevant 5th SA ed 165/ 5th ed 296]
Black's classification is a therapeutic classification because it is based on treatment and restoration design.

| Class | Restorations on |
|---|---|
| Class 1 | Occlusal surface of molars and premolars. Facial and lingual surfaces of molars. Lingual surface of maxillary incisors. |
| Class 2 | Restorations on the proximal surfaces of posterior teeth |
| Class 3 | Restorations on the proximal surfaces of anterior teeth that does not involve incisal angle. |
| Class 4 | Restorations on the proximal surfaces of anterior teeth involving the incisal edge. |
| Class 5 | Restorations on the gingival third of the facial or lingual surfaces of all teeth. |
| Class 6 | Restorations on the incisal edge of anterior teeth or occlusal cusp heights of posterior teeth. |",""
"Operative Dentistry","1. Principles of Cavity Preparation","3","Incipient caries consists of opaque, chalky white areas that appear when the tooth surface is dried, this is referred as","white spot","hot spot","translucent zone","body of lesion","A","'A' [Sturdevant 5th SA ed 39/Sturdevant 5th ed 298]",""
"Operative Dentistry","1. Principles of Cavity Preparation","4","Pit and fissure caries is seen in","Class I","Class I compound","Class II","Class II compound","A","'A' [Sturdevant 5th SA ed 165/ 5th ed 295]",""
"Operative Dentistry","1. Principles of Cavity Preparation","5","Smear layer consists of","Enamel debris","Micro organisms","Dentinal chips","all of the above","D","'D' [Vimal Sikri 3rd ed 497/ 1st ed 551]
Smear layer is microcrystalline debris embedded within denatured collagen on the cut surfaces of the tooth. It is 1 - 2mm thick and consists of saliva, bacteria, enamel and dentin particles. The smear layer debris pushed into the dentinal tubules forms smear plugs.

Smear unit = Smear layer + Smear plugs",""
"Operative Dentistry","1. Principles of Cavity Preparation","6","A butt joint is a","90° joint","120° joint","??° joint","180° joint","A","'A' [Sturdevant 5th SA ed 356,382/ 5th ed 513]
• 90° cavosurface angle.
• Advocated in amalgam restorations because amalgam is a brittle material and has low edge strength.
• Butt joint produces maximal strength for both tooth and amalgam.
• It is also advocated in silicate and porcelain restorations.

| Joint | Characteristics |
|---|---|
| Butt joint | • 90° cavosurface angle. • Advocated in amalgam restorations because amalgam is a brittle material and has low edge strength. • Butt joint produces maximal strength for both tooth and amalgam. • It is also advocated in silicate and porcelain restorations. |
| Lap/Slip joint | • > 90° cavosurface angle. • Advocated in cast and composite restorations. • 30 – 40° marginal metal and 140 – 150° cavosurface angle. • Bevelling enables superior adaptation and burnishability of marginal metal |",""
"Operative Dentistry","1. Principles of Cavity Preparation","7","Enameloplasty is","Filling of enamel fissures with amalgam","Elimination of shallow enamel fissures","Is same as prophylactic odontomy","All of the above","B","'B' [Sturdevant 5th SA ed 167/ 5th ed 304]
Enameloplasty is the process of conversion of shallow pit, groove or fissures into a rounded or saucered self cleanable area. Fissures that does not extend more than one-third of enamel depth are removed by enameloplasty.",""
"Operative Dentistry","1. Principles of Cavity Preparation","8","A prepared cavity is best protected from moisture by","Cotton rolls","Saliva ejector","Rubber dam","Paper napkin","C","'C' [Sturdevant 5th SA ed 136/ 5th ed 463]
Moisture control refers to exclusion of sulcular fluid, saliva and blood from the operating field. Among rubber dam, suction devices and absorbents, rubber dam is best recommended for moisture control.",""
"Operative Dentistry","1. Principles of Cavity Preparation","9","Retentive grooves in the proximal box of a class II amalgam cavity should be","Sharp and elongated at the dentinoenamel junction","Round and elongated in the dentin","Round and short in the dentin","Sharp and elongated in the dentin","B","'B' [Sturdevant 5th SA ed 382/ 5th ed 748]
Locks for amalgam and the grooves for cast metal restorations provide additional retention for proximal portions of tooth preparations. They also increase the resistance form. These are placed in the axiofacial and axiolingual line angles 0.2mm inside the DEJ. They are started at the axiofaciogingival (or axio linguo gingival) point angle and terminated at the axio facio pulpal (or axio linguo pulpal) point angle.

High copper amalgam alloys (that include occlusal dovetail) does not require locks in preparation as they exhibit less creep.",""
"Operative Dentistry","1. Principles of Cavity Preparation","10","The term 'Primary Prevention' means all of the following except","Planning the patient's diet","Prophylactic odontomy","Topical application of fluoride","Extending cavity preparation to prevent Recurrence","D","'D' [Sturdevant 4th ed 277/ 5th ed 290]
Extending the preparation to self cleansing areas and including the pits and fissures to prevent recurrence of caries is known as 'Extension for prevention'.

Preventive measures such as fluorides, oral hygiene, proper diet and use of enameloplasty, pit and fissure sealants makes 'constriction for conservation' possible excluding the need for 'extension for prevention'.",""
