Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Dental Cements,1,Fluoride rich materials include?,Silicate cement,Glass ionomer cement,Poly carboxylate cement,All of the above,D,"'D' [Phillips' 11th ed 446/ 12th ed 323]
Anticariogenic property of cements makes the enamel (Fluorapatite) resistant to acid mediated decalcification. Silicophosphate has the highest fluoride content followed by silicate and GIC whereas Polycarboxylate cement has least fluoride content.

They release fluoride throughout life of restoration but rate of release decreases over time.",
Dental Cements,2,Glass ionomer cements are composed of,Alumino silicate powder and phosphoric acid,Aluminosilicate powder and polyacrylate,Zinc oxide powder and phosphoric acid,Zinc oxide powder and polyacrylate liquid,B,"'B' [Phillips' 11th ed 472/ 12th ed 320]
The powder of traditional glass ionomer cement is a calcium-flouro-alumino-silicate glass. The powder is referred to as ""ion leachable glass"". It contains silica (35-40%), alumina (20-30%) and aluminum fluoride (1.5-2.5%), calcium and sodium fluorides (20-25%).

Lanthanum, strontium, barium are added in traces for radioopacity. The fluorides act as ceramic flux.

| Liquid contains | |
|---|---|
| Polyacrylic acid | 45% |
| Water | 50% (hydrates reaction product) |
| Itaconic acid | |
| Maleic acid | 5% (reduces viscosity) |
| Tricarballyic acid | |
| Tartaric acid | Traces (Increases working time & decrease setting time) |",
Dental Cements,3,ZOE is not used for permanent cementation because of?,Less strength,High solubility,Poor marginal seal,Poor pulpal protection,A,"'A' [Check Q.No.15]
Mechanical properties of ZOE cement can be improved by adding alumina to the powder and orthoethoxy benzoic acid to the liquid or by reinforcing with polymers.

Reinforced ZOE cements are used for intermediate restorations.",
Dental Cements,4,Minimum thickness for type I zinc phosphate cement should be,15 microns,25 microns,50 microns,100 microns,B,"'B' [Phillips' 11th ed 451/ 12th ed 314]
ZnPO₄ is oldest of all luting cements and is called as universal luting cement.

| Type I ZnPO₄ | Fine grained for luting. Film thickness is 25 micrometers or less. |
| Type II | Medium grained for luting and filling. Film thickness is 40 micrometers. |",
Dental Cements,5,Increased amount of powder in zinc phosphate cement mixture will cause,Decreased strength,Decreased film thickness,Decreased solubility,Increased setting time,C,"'C' [Phillips' 11th ed 465/ 12th ed 317]
Increased powder liquid ratio decreases the setting time and solubility, and increases strength and film thickness. But when the mixing slab is cooled, the setting time increases and also permits the addition of more amount of powder to liquid without developing high viscosity.",
Dental Cements,6,The temperature (in °F) of the mixing slab for silicate cements should be,55 - 65,65 - 75,75 - 85,85 - 95,B,'B' [Year book of dentistry by Darlington 19],
Dental Cements,7,Which of the following is common to both zinc eugenol cement and polycarboxylate cement?,Polyacrylic acid is liquid,Chemical bond to tooth structure,Chelation,Substitution of eugenol by EBA to increase strength of cement,C,"'C' [Phillips' 11th ed 490/ 12th ed 331]
Zinc oxide powder reacts with eugenol and polyacrylic acid to form zinc eugenolate and zinc polycarboxylate respectively. Both are examples of chelation reaction.",
Dental Cements,8,The addition of which of the following can accelerate the setting time of zinc oxide cement:,Zinc acetate,Barium sulphate,Zinc sulphate,Barium chloride,A,"'A' [Phillips' 11th ed 572]
Accelerators of setting reaction of ZOE cement:
• Zinc acetate
• Alcohol
• Water
• Glacial acetic acid

Retarders of setting reaction of ZOE cement:
• Cooling the glass slab
• Glycerine
• Olive oil
• Increasing liquid powder ratio

All of the following are added as an accelerator in ZOE cement except? (PGI Dec-2011)
a) Acetic acid   b) Zinc acetate dehydrate
c) CaCl2   d) Bromoglycerine",
Dental Cements,9,Which of the following show chemical bond with enamel (Calcified tissues):,Composites,Direct filling resins,Polycarboxylate cements,BIS-GMA resins in pit and fissure sealants,C,"'C' [Phillips' 11th ed 467/ 12th ed 318]
Zinc polycarboxylate is the first cement to show adhesion with tooth structure. Glass ionomer is another such cement to show chemical bonding with enamel.",
Dental Cements,10,Which of the following cements is most irritant to pulpal tissues?,Zinc phosphate,Silicate,Glass ionomer,Polycarboxylate,B,"'B' [Phillips' 11th ed 446]
Silicate cement is a severe irritant to pulp tissues. It's pH is less than 3 at the time of insertion and it remains below 7 even after one month. High solubility in oral cavity is another disadvantage of silicate cement.

The cement filling material which has the most severe injurious effect on pulp is (COMEDK-2013)
Ans. Silicate cement",
Dental Cements,11,Which of the following do polycarboxylate and GIC have in common?,Polysiloxane,Phosphoric acid,Polyacrylic acid,Ion leachable glass,C,'C' [Phillips' 11th ed 471/ 12th ed 318],
