Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,1,The incidence of two canals being present in mandibular incisors is approximately.,22-41%,12-22%,3-12%,Less than 3%,A,"[Clinical endodontics by Tronstad 3rd ed 209]
The incidence of two canals in mandibular incisors accounts for about 25% and can be as high as 41%. The incidence of two canals in mandibular anterior teeth has been reported by several authors to vary between 12.4% to 53%.",
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,2,pH of freshly mixed MTA is,Acidic,Alkaline,Neutral,Close to Extremely Alkaline,B,"[Cohen 11th ed 421]
• The pH of freshly mixed MTA is 10.2 and reaches to 12.5 after 3 hours.
• The excellent biocompatibility of MTA is attributed to its alkaline pH and its potential to release calcium ions. An alkaline pH is important for hard tissue induction and antimicrobial activity.
• Resistant endodontic bacteria such as Enterococcus faecalis, are destroyed at a pH values over 11.",
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,3,Which is the best storage medium for avulsed tooth at the scene of injury among the following:,Milk,Saline,Lens liquid,Water,A,"[Clinical and Practical Implications of Storage Media used for Tooth Avulsion. Int J Clin Pediatr Dent. 2017 Apr-Jun; 10(2): 158-165.]
Based on the literature, solutions designed specifically for storage and culture purposes (HBSS, VIASPAN) are the best for storing avulsed tooth. But if they are not available, regular pasteurized whole milk is the most frequently recommended and with the best prognosis among other solutions that are likely to be available at the scene of an accident, such as water, saline or saliva. Its advantages include its high availability, ready accessibility, physiologically compatible pH and osmolality (fluid pressure) with the root-surface adhered PDL cells, presence of nutrients and growth factors.

Various Storage media:
• Cell and tissue culture solutions like Hank's Balanced Salt Solution (HBSS)
• Medical/hospital products developed specifically for organ storage purposes, such as Viaspan
• Culture media, like Minimum Essential Medium (MEM)
• Saline
• Natural products like water, saliva, bovine milk and its variations, propolis, green tea, Morus rubra (red mulberry), egg white and coconut water
• Rehydrating solutions, like Gatorade and Ricetral
• Contact lens solutions

Contact lens solutions are essentially saline solutions. Studies showed that the solutions for keeping contact lenses were worse than saline solution, milk, and HBSS. The presence of preservatives in its formula was harmful to the cells of the PDL and therefore, they are not recommended.",
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,4,PAD wavelength for sterilization of root canal?,11000,635,300,1000,B,"[Ingle 6th ed 970]
Photoactivated disinfection (PAD) also called as Photodynamic Therapy (PDT) involves the use of dyes or photosensitizers (tolonium chloride) that are introduced into the root canal system and activated by laser light with a wavelength corresponding to the absorption maximum of the dye.
• These wavelengths are typically within the visible (from 635 to 675 nm) and near-infrared (810 nm) spectrum.
• Besides the presence of a specific light source in the target area, this application also requires the presence of sufficient oxygen in the tissue.
• When all these conditions are satisfied, the exposure of the dye to the light drives a photochemical reaction producing free radicals and singlet oxygen that finally generate the bactericidal effect.",
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,5,Ellis and Davy class IV is?,Extensive fracture of the crown involving considerable dentin but not the dental pulp,The traumatized teeth that became non vital with or without a loss of crown structure,Teeth lost as a result of trauma,Fracture of the root with or without the loss of crown structure,B,"[Shobha Tandon 2nd ed 569]
• Class 1- simple fracture of the crown involving little or no dentin
• Class 2- Extensive fracture of the crown involving considerable dentin but not the dental pulp.
• Class 3 - Extensive fracture of the crown involving considerable dentin and exposing the dental pulp
• Class 4 - The traumatized teeth that became non-vital with or without a loss of crown structure.
• Class 5 - Teeth lost as a result of trauma
• Class 6 - Fracture of the root with or without the loss of crown structure.
• Class 7 - Displacement of a tooth without fracture of the crown or root
• Class 8 - Fracture of the crown en masse and it's replacement
• Class 9 - Traumatic injuries of primary teeth",
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,6,Addition of copper in NiTi alloy results in all except?,better tarnish and corrosion resistance of the alloy,increases transition temperature range of the alloy,does not affect so much its superplastic property,exerts a high loading and low unloading force,D,"[Mechanical properties of NiTi and CuNiTi wires used in orthodontic treatment. Dental Press J Orthod. 2014 Jan-Feb; 19(1): 69-76]
Copper is one of the third element that has been added to nickel-titanium, resulting in a copper-nickel-titanium alloy with many potential clinical advantages in orthodontics. Manufacturing companies claim that the addition of copper would allow the orthodontist to more easily engage larger arch wires. This is because the copper lowers the loading stress while still providing relatively high unloading stress resulting in more effective orthodontic tooth movement of teeth. This is known as having a lower stress hysteresis.

Advantages of adding copper to Ni-Ti:
• Stabilizes the superelasticity characteristics against cyclic deformation.
• reduces the ageing effect of Ni-Ti.
• Improved corrosion resistance.
• Better defined transition temperatures, which not only ensures the generation of more homogeneous loadings from arch to arch and from end to end, but also increases the effectiveness of tooth movement.",
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,7,According to Ellis and Dave's classification (1970) for traumatic injuries to teeth. ‘Fracture of root with or without loss of crown included in:,Class V,Class VI,Class VII,Class VIII,B,"[Shobha Tandon 2nd ed 569]
Class 6 is fracture of the root with or without the loss of crown structure.",
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,8,The sharp pricking pain is picked up by which of the following nerve fibres in the pulp?,A-alpha fibres,A-beta fibres,A-delta fibres,A-gamma fibres,C,"[Grossman 12th ed 32]
• Nerve fibres that respond to electric pulp tester - A delta
• Nerve fibres that are excited by hydrodynamic events such as air drying and drilling - A delta
• Nerve fibres involved in hypersensitivity - A delta
• Nerve fibres involved in inflammation - C fibres.",
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,9,Deeper invasion of root dentin by resorbing tissues that extend into the coronal third of the root comes under which class of Heithersay’s classification,Class I,Class II,Class III,Class IV,C,"[Ingle 5th ed 141]
Invasive cervical resorption:
• Extracanal invasive resorption, also termed invasive cervical resorption, is given by Heithersay.
• In this the pulp remains unaffected until late in the process owing to an apparently thin and resorption-resistant layer of dentin and predentin. This separates the pulp from the ingrowing tissue that is initially fibrovascular in character but becomes a fibro-osseous type of tissue.
• If exposed to the oral cavity, the pulp will be invaded by microorganisms. Although pulp vitality can be maintained if there is early diagnosis and treatment of this type of resorption, more extensive lesions require nonsurgical root canal therapy and resorption treatment if the tooth is to be retained.

Heithersay's Classification (Invasive Cervical Resorption):
Class 1: Small, invasive resorptive lesion near the cervical area with shallow penetration into the dentin.
Class II: Well defined, invasive resorptive lesion that has penetrated close to the coronal pulp but with little or no extension into the radicular dentin.
Class III: Deeper invasion of root dentin by resorbing tissues that extend into the coronal third of the root.
Class IV: Large, invasive resorptive process that extend beyond the coronal third of the root.","Requires image: Heithersay's Classification (Invasive Cervical Resorption), Classes 1–4 diagram/table"
Endodontics,11. RECENT PAPERS 2018-19 ENDODONTICS,10,Classification of Kim’s microsurgical endodontic case having a large periapical lesion approaching coronally with no pocket and no mobility:,Class A,Class B,Class C,Class D,C,"[Microsurgery in Endodontics by Syngcuk Kim 1st ed 21]
Syngcuk Kim and Kratchman classified Endodontic Microsurgical Cases periradicular lesions into categories A-F.

Class A: Represents the absence of a periapical lesion, no mobility, and normal pocket depth, but unresolved symptoms after nonsurgical approaches have been exhausted. Clinical symptoms are the only reason for the surgery.
Class B: Represents the presence of a small periapical lesion together with clinical symptoms. The tooth has normal periodontal probing depth and no mobility. The teeth in this class are ideal candidates for microsurgery.
Class C: Teeth have a large periapical lesion progressing coronally, but without periodontal pocket and mobility.
Class D: Features are clinically similar to those in Class C, but have deep periodontal pockets.
Class E: Teeth have a deep periapical lesion with an endodontic-periodontal communication to the apex but no obvious fracture.
Class F: Represents a tooth with an apical lesion and complete denudement of the buccal plate but no mobility.

Lesion types A, B, and C represent lesions of endodontic origin and are ranked according to increasing size of periradicular radiolucency.
Lesion types D, E, and F represent lesions of combined endodontic-periodontal origin and are ranked according to the magnitude of periradicular breakdown.
Classes A, B, and C present no significant treatment problems, and the conditions do not adversely affect treatment outcomes. Classes D, E, and F present serious difficulties.

<table border=""1"" cellpadding=""6"" cellspacing=""0"" style=""border-collapse:collapse;width:100%;font-size:13px"">
<tr style=""background:#e75480;color:#fff;font-weight:bold""><td>Class</td><td>Description</td></tr>
<tr><td>Class A</td><td>Represents the absence of a periapical lesion, no mobility, and normal pocket depth, but unresolved symptoms after nonsurgical approaches have been exhausted. Clinical symptoms are the only reason for the surgery.</td></tr>
<tr><td>Class B</td><td>Represents the presence of a small periapical lesion together with clinical symptoms. The tooth has normal periodontal probing depth and no mobility. The teeth in this class are ideal candidates for microsurgery.</td></tr>
<tr><td>Class C</td><td>Teeth have a large periapical lesion progressing coronally, but without periodontal pocket and mobility.</td></tr>
<tr><td>Class D</td><td>Features are clinically similar to those in Class C, but have deep periodontal pockets.</td></tr>
<tr><td>Class E</td><td>Teeth have a deep periapical lesion with an endodontic-periodontal communication to the apex but no obvious fracture.</td></tr>
<tr><td>Class F</td><td>Represents a tooth with an apical lesion and complete denudement of the buccal plate but no mobility.</td></tr>
</table>","Requires image: Kim and Kratchman microsurgical case classification table, Classes A–F"
