Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Orthodontics,Cephalometry,1,FHP is formed by joining,Porion and Orbitale,Nasion and sella,Porion and sella,Porion and Nasion,A,[Bhalajhi 3rd ed 148] FHP or Frankfort horizontal plane Formed by joining Porion and orbitale.,
Orthodontics,Cephalometry,2,Most anterior part of the chin is,Gonion c) Menton,Pogonion d,"Gnathion 3. Gonion, menton and pogonion are located on a) Maxilla b) Mandible c) None of the above",Both A and B,B,[Bhalajhi 3rd ed 148] Pogonion is the most anterior point of bony chin. Gonion is a constructed point... Menton is the most inferior point... Gnathion is the most antero-inferior point.,
Orthodontics,Cephalometry,3,"Gonion, menton and pogonion are located on",Maxilla,Mandible,None of the above,Both A and B,B,"[Bhalajhi 3rd ed 148] Unilateral Landmarks... Bilateral Landmarks: Gonion, Porion, Articulare.",
Orthodontics,Cephalometry,4,"In a lateral cephalogram, the distance at which the film is placed from the mid-sagittal plane is:",10 cms c) 13 cms,12 cms d,"18 cms 5. The three landmarks which determine skeletal convexity are: a) Glabella, prosthion and supramentale b) Nasion, sella and articulare c) Nasion, subspinale and pogonion","Orbitale, anterior nasal spine and pogonion",C,The distance between X-ray film and midsagittal plane of patient's head is 15 cm (6 inch) or approximately 15.24 cm. 18 cms is not accurate but closest among options. Actually the distance between X-ray tube and midsagittal plane is 60 inches.,
Orthodontics,Cephalometry,5,The three landmarks which determine skeletal convexity are:,"Glabella, prosthion and supramentale","Nasion, sella and articulare","Nasion, subspinale and pogonion","Orbitale, anterior nasal spine and pogonion",C,[Bhalajhi 3rd ed 151] Angle of convexity (N-A-Pog) is formed by intersection of a line from Nasion to point A (subspinale) and a line from point A to pogonion.,
Orthodontics,Cephalometry,6,Which of the following is a bilateral landmark on the lateral cephalogram,Basion c) Gonion,Pogonion d,Nasion 7. Pogonion is a) Most inferior point on the contour of the chin b) Lowest point on the symphyseal outline c) Most posterior inferior point on the angle of the mandible,Anterior most point on the contour of the chin,C,"[Bhalajht 3rd ed 148 Fig 3(B)] In lateral cephalometrics, left side of the patient is towards the cassette.",
Orthodontics,Cephalometry,7,Pogonion is,Most inferior point on the contour of the chin,Lowest point on the symphyseal outline,Most posterior inferior point on the angle of the mandible,Anterior most point on the contour of the chin,D,[Bhalajhi 3rd ed 148] Pogonion is the anterior most point on the contour of the chin.,
Orthodontics,Cephalometry,8,An ANB angle 2ÃÂº on the cephalogram usually indicates,An unfavorable relationship of mandible to maxilla,A favorable relationship of maxillary alveolar base to mandibular alveolar base,Poor cranial growth with poor prognosis,Retruded maxillary incisor,B,[Bhalajhi 3rd ed 154] ANB angle denotes the relative position of maxilla and mandible to each other. Mean value is 2ÃÂº. An increase in this angle indicates class-II skeletal tendency while an angle that is less than normal or a negative angle is suggestive of a skeletal class-III relationship.,
Orthodontics,Cephalometry,9A,The possible cause of reverse overjet,Forward displacement of mandible due to occlusal prematurities,Forward pattern of mandibular growth,Both A and B,None of the above,D,"The answer given by COMEDK university is A and B, but nowhere the question includes any clue about occlusal prematurities or pseudo class III occlusion like forward path of closure.",
Orthodontics,Cephalometry,9B,The appliance of choice for treatment,Bionator c) Frankel Regulator3,Delaire's face mask d,Activator 9C. Effects of wearing the appliance of choice a) Forward and downward rotation of mandible b) Backward and downward rotation of mandible c) Backward and upward rotation of mandible,Forward and upward rotation of mandible,C,[Bhalajhi 6th ed 515] Frankel III appliance can be used during growth to intercept a class III malocclusion due to maxillary skeletal retrusion.,
