Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Dental Materials,Amalgams,1,"The term ""trituration"" means",Lysing amalgam alloy,Mixing of amalgam alloy and mercury,Removal of excess of mercury,None of the above,B,"'B' [Phillips' 11th ed 523/ 12th ed 341]
Trituration is mixing of alloy and mercury. Usually, the alloy particles are coated with a film oxide, and this layer prevents the penetration of mercury. During trituration, the oxide layer is removed by abrasion so that a clean surface of alloy can come in contact with the mercury.

Spherical alloys usually require less amalgamation time than the lathe-cut alloys. Undertrituration results in weak restoration with rough surface. The rough surface will increase the susceptibility to tarnish.",
Dental Materials,Amalgams,2,Dynamic creep is the,Continuing alloying between silver-tin alloy and mercury during the life of restoration,Deformation of set amalgam during function,"Process whereby alloy is ""wetted"" by mercury",Spread of amalgam during packing,B,"'B' [Phillips' 11th ed 46, 540/ 12th ed 33,353]
Creep is the time dependent plastic deformation, which occurs when a metal is subjected to a constant load near its melting point. Restorations of higher-creep alloys generally experience greater marginal breakdown than the restorations with low-creep values.

Amalgams will undergo creep as its melting point is slightly above the room temperature. Dynamic creep is the deformation of set amalgam during function. The creep can cause an amalgam restoration, to extend out of the cavity preparation and increases its susceptibility to marginal breakdown.",
Dental Materials,Amalgams,3,The highest mercury concentration in amalgam filling is found,At the margin of the restoration,In the centre of the restoration,In the deepest part of the restoration,None of the above,A,"'A' [Phillips' 11th ed 538/ 12th ed 352]
The concentration of mercury in the margins will be 2-3% higher than the remaining bulk of restorations. These areas are critical in terms of corrosion fracture, and secondary caries.",
Dental Materials,Amalgams,4,The dental amalgam is most resistant to,Compressive Stress,Impact stress,Shear stress,Tensile stress,A,"'A' [Phillips' 11th ed 512/ 12th ed 352]
Amalgams have low tensile strength (48-70 mpa) and high compressive strength (minimum of 310 mpa). As amalgams are brittle materials with low edge strength, bevelling at the cavosurface margin is contraindicated. The cavosurface angle in amalgams is 90° and forms a butt end.",
Dental Materials,Amalgams,5,"The ADA specification No 1 for composition of amalgam alloy, recommends,","a) 65% silver, 32% tin and 3% copper","b) 49% silver, 32% tin and 19% copper","c) 65% silver, 29% tin and 5-6% copper",d) None of the above,C,"'C' [Phillips' 11th ed 497/ 12th ed 342]

| | Ag | Sn | Cu | Zn |
|---|---|---|---|---|
| Low copper alloys (Contains <6% of copper) | 63-70% | 26-28% (PGI – 11) | 2-5% | 0-2% |
| Single composition spherical alloys | 40-60% | 22-30% | 13-30% | 0-4% |
| Admixed alloys | Admixed alloys contains 1 part of high copper spherical particles (silver-copper eutectic alloy) and 2 parts of low-copper lathe cut particles | | | |

Both single composition and admixed alloys are types of high copper alloys. The total copper content in admixed alloys ranges from 9-20%.",
Dental Materials,Amalgams,6,"According to ADA specification No or number 1, the minimum compressive strength for silver amalgam filling after one hour should be",80 Mpa,140 Mpa,260 Mpa,510 Mpa,A,"'A' [Phillips' 11th ed 515/ 12th ed 353]
According to ADA, the minimum compressive strength after 1 hr. is 80 mpa. The compressive strength of a satisfactory amalgam should be at least 310mpa. Both low-copper and high-copper amalgams have tensile strengths in the range of 50-70 mpa. Admixed alloys will have least tensile strength.

The compressive strength of high-copper single composition alloys > high copper admix alloys > low-copper alloys.",
Dental Materials,Amalgams,7,Which of the following phases of dental amalgam has minimum strength,Gamma 1,Gamma 2,Epsilon 1,Gamma 3,B,"'B' [Phillips' 11th ed 503, 504/ 12th ed 344]
The physical properties of the hardened amalgam depend on the relative percentages of various micro structural phases. The γ-phase (unconsumed Ag-Sn particles) is strongest followed by gamma₁ (Ag₂Hg₃) and gamma₂ (Sn₇Hg₈). The tin-mercury phase (γ₂) lacks corrosion resistance and is the weakest component of dental amalgam.

In high copper alloys, the gamma₂ (Sn₇Hg₈) is eliminated and replaced by eta (Cu₆Sn₅) phase, which is most resistant to tarnish and corrosion. As a result, the high copper amalgam alloys will have high strength, hardness and high corrosion resistance.",
Dental Materials,Amalgams,8,Admixed high copper alloy powder contains,9-20% copper,13-20% copper,9-30% copper,13-30% copper,A,"'A' [Phillips' 11th ed 505/ 12th ed 342]

| | |
|---|---|
| Low copper alloys | Copper is < 6% by wt. |
| High copper single composition alloys | Copper is 13-30% |
| Admixed alloys | Copper is 9-20% by wt. |",
Dental Materials,Amalgams,9,"Compare to conventional amalgams, spherical amalgams",Require more mercury,Requires heavy compaction forces,Have longer setting times,None of the above,D,"'D' [Phillips' 11th ed 514/ 12th ed 343]
Spherical alloys require less mercury than typical lathe-cut alloys because they have a small surface area.

High condensation pressures are required to minimize porosity and to express mercury from lathe-cut amalgams. On the other hand, spherical amalgams (which contain less mercury) condensed with lighter pressures produce adequate strength.",
Dental Materials,Amalgams,10,Finishing and Polishing of Amalgam make the restoration:,Increase in tarnish and corrosion resistance,Increase the marginal strength,Decrease the tarnish and corrosion resistance,Increased compressive strength,A,"'A' [Phillips' 11th ed 531/ 12th ed 354]
Amalgams without finishing and polishing will have a rough surface microscopically and results in concentration cell-type corrosion.",
Dental Materials,Amalgams,11,Which of the following statements about high copper silver alloy compared to conventional alloy is not true?,It has increased tensile and compressive strength,It has poor tarnish and corrosion resistance,Its' edge strength is greater,Mercury content in the final restoration is less,B,"'B' [Phillips' 11th ed 504/ 12th ed 354]
The γ₂ or tin-mercury phase in low copper amalgams lacks the corrosion resistance and is the weakest component of dental amalgam.

But in high copper amalgams, the γ₂ phase is replaced by eta phase (Cu₆Sn₅), which is most resistant to tarnish and corrosion. As a result, the high copper alloys will have high strength, hardness and corrosion resistance.",
Dental Materials,Amalgams,12,Setting time of Amalgam is best controlled by?,Using spherical particles,Lathe cut alloy,Altering Hg-Alloy ratio,Trituration time,D,"'D' [Phillips' 11th ed 525/ 12th ed 347]
The setting time is best controlled by altering the trituration speed or trituration time or both. For a given type of alloy and mercury: alloy ratio, increased trituration time or speed shortens the working and setting times.

Spherical alloys require less amalgamation time than the lathe-cut alloys.",
Dental Materials,Amalgams,13,Increase in the residual mercury in silver amalgam filling can:,Cause fracture of the filling,Tarnish and corrosion,Increase the strength,Decrease condensation pressure,A,"'A' [Phillips' 11th ed 538]
The mercury content of finished restoration should be 50% approximately. Restorations containing mercury in excess of 55% showed an higher incidence of marginal fracture and surface deterioration than the restorations that contains mercury in 50% range.

Elimination of γ₂ phase by eta phase and less amount of residual mercury (around 42%) made high copper alloys more resistant to tarnish and corrosion.",
Dental Materials,Amalgams,14,High Cu alloys have all of the following except:,High tensile strength,Low creep,High corrosion,None of the above,C,'C' [Phillips' 11th ed 504/ 12th ed 354],
Dental Materials,Amalgams,15,Chronic mercury toxicity results from:,Ingestion while removing old amalgam,Skin contact,Mercury vapour,All of the above,D,"'D' [Phillips' 11th ed 537/ 12th ed 359]
Though mercury is absorbed through various routes, the primary risk to dental personnel is from inhalation. The maximum safe level of occupational exposure is 50 micrograms / m³ of air⁰.",
Dental Materials,Amalgams,16,"In non zinc containing dental amalgam alloy, the percentage of zinc present is",Less than 0.02%,Less than 0.1%,Less than 0.01%,None of the above,C,"'C' [Phillips' 11th ed 496]
Alloys containing less than 0.01% of zinc are classified as non-zinc alloys and the alloys with more than 0.01% of zinc are classified as zinc containing alloys.

Uses of Zinc:
• Reduces brittleness.
• It reacts rapidly with oxygen and their impurities and prevents the oxidation of more important elements like silver, copper or tin. Thus it acts as deoxidiser or scavenger.
• Better handling property.

On the other hand, if the amalgam is contaminated with moisture during trituration or condensation, Zn causes delayed expansion. Delayed expansion is due to pressure exerted by hydrogen gas, which is a corrosion product evolved during the reaction between Zinc and moisture.",
Dental Materials,Amalgams,17,In spherical alloys as compared to lathe cut:,Less condensing force is required,More condensing force is required,Both require same condensing force,Manipulation is easy,A,'A' [Phillips' 11th ed 514/ 12th ed 349],
Dental Materials,Amalgams,18,High copper dental amalgams are superior to other amalgams because high copper dental amalgams:,Have less marginal breakdown,Are workable at lower Hg-alloy ratio,Have a higher ratio of tensile to compressive strength,Have less resistance to tarnish and corrosion,A,'A' [Phillips' 11th ed 504/ 12th ed 357],
Dental Materials,Amalgams,19,Discolourisation of Ag containing alloy is due to,Wet corrosion,Dry corrosion,Tarnish,Both Tarnish and Corrosion,B&D,"'B & D' [According to key provided by the university; Check Explanation below]
Tarnish is an early indication and precursor of corrosion. In tarnish there will be surface discoloration or loss of lustre but no disintegration of the metals. Eg: Silver sulphide tarnish.

Two types of corrosion are:
• Chemical or dry
• Electrochemical or wet

Chemical (or) dry corrosion occurs in the absence of moisture. There is direct combination of metallic and non-metallic elements to form a chemical compound by oxidation, halogenation or sulfurization.

Eg: discoloration of silver by sulphur. So discoloration of silver containing alloys is both by tarnish and dry corrosion.

Wet corrosion requires presence of water or electrolyte as a pathway for the transport of electrons. It is more important for dental restorations. In oral cavity dry and wet corrosion cannot be distinguished separately due to the presence of saliva.",
Dental Materials,Amalgams,20,The largest component of amalgam alloy is:,Silver,Tin,Zinc,Copper,A,'A' [Phillips' 11th ed 496/ 12th ed 342],
Dental Materials,Amalgams,21,"In a high copper amalgam the phase, which is eliminated, is:",Gamma 1,Gamma 2,Gamma 1 and 2,No phase is eliminated,B,'B' [Phillips' 11th ed 506/ 12th ed 345],
Dental Materials,Amalgams,22,"During amalgamation, trituration is done to:",Dissolve the alloy in mercury,Coat the alloy particles with mercury,Remove excess mercury from the amalgam,Dissolve Hg in alloy,B,'B' [Phillips' 11th ed 523/ 12th ed 341],
Dental Materials,Amalgams,23,Moisture contamination of amalgam can lead to:,Marginal breakdown,Shrinkage,Delayed expansion,Increased stresses,C,"'C' [Phillips' 11th ed 510/ 12th ed 351]
Delayed expansion occurs if the amalgam mix is contaminated with moisture during trituration or condensation. The expansion begins 3 or 4 days after condensation and results in hyper occlusion and cracks in tooth. The restoration becomes wedged so tightly against the cavity walls and the pressure in pulpal direction will cause intense pain.",
Dental Materials,Amalgams,24,Amalgam restorations give the best clinical service when the residual mercury content is:,38-42%,48-52%,58-62%,68-72%,B,"'B' [Phillips' 11th ed 522, 538/ 12th ed 346]",
Dental Materials,Amalgams,25,Discolouration of silver alloy is due to:,Tarnish,Tarnish and corrosion,Wet corrosion,Dry corrosion,B,"'B' [Phillips' 11th ed 517, 57/ 12th ed 354]
Tarnish is surface discoloration or slight loss of surface finish or luster of a metal. The discoloration of amalgam is due to formation of black silver sulfide. Corrosion is the actual deterioration of the metal by reaction with environment. Tin chlorides and oxides are the corrosion products of low copper alloys whereas copper oxide is the corrosion product of high copper alloys.",
Dental Materials,Amalgams,26,Percentage of tin in low copper alloy is,30-35%,26-28%,13-32%,22-30%,B,'B' [Phillips' 11th ed 497/ 12th ed 342],
