Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Dental Materials,3. GYPSUM PRODUCTS,1,"Model plaster (white) used to cast study models before mixing with water, is largely composed of",CaO,CaCO3,(CaSO4)2.½H2O,CaSO4.2H2O,C,"'C' [Phillips' 11th ed 259/ 12th ed 183]
Calcium sulfate hemihydrate is the starting material used for production of casts, models and impressions plasters. It reacts with water to form gypsum or calcium sulfate dihydrate. The reaction is exothermic in nature.

(CaSO4)2.½H2O + 3H2O → 2CaSO4.2H2O + Heat",
Dental Materials,3. GYPSUM PRODUCTS,2,"The product, which is obtained by calcining gypsum under steam pressure at 120-130°C or by dehydrating gypsum in the 130°C in the presence of sodium succinate, is",Alpha - hemihydrates,Beta - hemihydrates,Calcium sulphate dihydrate,Orthorhombic anhydrate,A,"'A' [Phillips' 11th ed 257, 274/ 12th ed 183]
Calcination of gypsum at 110° - 120° C results in formation of CaSO4.½ H2O, which is a constituent of dental plasters and stones. Calcination under steam pressure or by dehydration, in presence of succinate and calcium chloride produces α-hemihydrate. Dry calcination produces β-hemihydrate.",
Dental Materials,3. GYPSUM PRODUCTS,3,Water powder ratio of dental stone and plaster is respectively,0.28 and 0.6,0.6 and 0. 28,0.6 and 3.2,0.28 and 0.98,A,"'A' [Phillips' 11th ed 273/ 12th ed 183]
<table border='1' cellpadding='4' cellspacing='0'><thead><tr><th></th><th>α-Hemihydrate (Dental stone)</th><th>β-Hemihydrate (Plaster of paris)</th></tr></thead><tbody><tr><td>Method of calcination</td><td>Calcination is done in closed chamber under steam pressure or by dehydration</td><td>Dry calcination is done in open air</td></tr><tr><td>W:P ratio</td><td>0.28 – 0.30</td><td>0.40 – 0.50</td></tr><tr><td>Crystals shape</td><td>Dense and prismatic</td><td>Irregular, spongy and more porous</td></tr></tbody></table>

Beta-hemihydrate calcination true is (AIIMS-14)
a) In presence of air
b) In absence of air
c) In presence of CaCl2 (3%)
d) Under steam pressure in autoclave",
Dental Materials,3. GYPSUM PRODUCTS,4,Type III Dental gypsum is,Class II stone,Densite,Class I stone or hydrocal,Model or lab plaster,C,"'C' [Phillips' 11th ed 274/ 12th ed 190]
<table border='1' cellpadding='4' cellspacing='0'><thead><tr><th>Type</th><th>Description</th></tr></thead><tbody><tr><td>Type I</td><td>Impression plaster</td></tr><tr><td>Type II</td><td>Model plaster</td></tr><tr><td>Type III (Class I stone)</td><td>Dental stone / Hydrocal</td></tr><tr><td>Type IV (Class II stone)</td><td>High strength stone or improved stone or densite or die stone (KCET-07).</td></tr><tr><td>Type V</td><td>Dental stone of high strength and high expansion.</td></tr></tbody></table>

According to ANSI/ADA specifications type III gypsum product is called (KERALA-2016)
a) High expansion dental stone
b) High strength dental stone
c) Impression plaster
d) Dental stone",
Dental Materials,3. GYPSUM PRODUCTS,5,Green strength with reference to plaster means,Dry strength,Compressive strength,Strength of dental stone due to green colour,The wet strength,D,"'D' [Phillips' 11th ed 271/ 12th ed 188]
Wet strength or green strength is the strength obtained when excess water than that required for hydration of hemihydrate is left in the specimen.

When the specimen is dried of the excess water, strength obtained is called dry strength. Dry strength is two or more times the wet strength.",
Dental Materials,3. GYPSUM PRODUCTS,6,Beta hemihydrate particles absorb,more water,less water,no water,none of the above,A,"'A' [Phillips' 11th ed 258/ 12th ed 189]
β-hemihydrate particles absorb more water, because the crystals are more irregular in shape and are porous in character.",
Dental Materials,3. GYPSUM PRODUCTS,7,Water of reaction needed to react completely with 100 g of calcium sulphate hemihydrates to convert it to calcium sulphate dihydrate,18.6ml,22.2ml,30.4ml,45.3ml,A,"'A' [Check Explanation Below]
Water of reaction is same for all gypsum products i.e., 18.6 ml. of water completely reacts with 100g of hemihydrate. But gauging water differs with the type of gypsum product. It is 45 ml for type I, 30 ml for type III and 20 ml for type IV.",
Dental Materials,3. GYPSUM PRODUCTS,8,Powders of dental plaster and dental stone differ mainly in:,Solubility,Shelf life,Chemical formula,Particle porosity,D,"'D' [Phillips' 11th ed 257/ 12th ed 183]
Dental plaster (beta-hemihydrate) and dental stone (alpha-hemihydrate) differ in particle size, shape and porosity. Crystals of beta-hemihydrate are more irregular in shape and porosity than α-hemihydrate.",
Dental Materials,3. GYPSUM PRODUCTS,9,Hardness of stone surface is affected by?,Impression wax,Impression compound,Hydrocolloid impression material,Rubber based material,C,"'C' [Phillips 12th ed 170 &172]
- A small percentage of borax is added to strengthen the agar gel. Since borax is a potent retarder for the setting of gypsum, an accelerator such as potassium sulfate is added to counteract the effect of borax.
- In alginate impression material, a fluoride, such as potassium titanium fluoride, is added as an accelerator for the setting of the stone to ensure a hard, dense cast surface when the stone is poured in the impression. This fluoride is also called a surface hardener.
- Also dessication of hydrocolloid, can occur if impression is left for a long time, causing abrasion of the cast and poor quality of its surface",
Dental Materials,3. GYPSUM PRODUCTS,10,Impression plaster containing potato starch is called:,Plaster of paris,Soluble plaster,Anti - expansion solution,Die stones,B,"'B' [Ranga Rajan 1st ed 42]
Potato starch is added to make the impression plaster soluble and for easy removal of impression from the cast",
