Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Oral Pathology,Developmental Disturbances,1,A union of the roots of adjacent teeth through the cementum is referred to as,Concrescence,Fusion,Gemination,None of the above,A,"[Shafer 7th ed 40, 41/ 6th ed 40]
<table><tr><th>Condition</th><th>Explanation</th></tr>
<tr><td>Gemination</td><td>• An attempt at division of a single tooth before calcification, resulting in incomplete formation of two teeth.<br>• The resultant structure will have two completely or incompletely separated crowns with a single root and root canal.<br>• It is difficult to differentiate between gemination and a case in which there has been fusion between a normal tooth and a supernumerary tooth.</td></tr>
<tr><td>Twinning</td><td>• The division of a single tooth resulting in one normal and one supernumerary tooth. The number of teeth will be more than normal.</td></tr>
<tr><td>Concrescence</td><td>• A form of fusion of cementum after completion of root formation.<br>• The teeth are united by cementum only.<br>• Maxillary molars are frequently involved.</td></tr>
<tr><td>Fusion</td><td>• Union of two normally separated tooth germs.<br>• If the union occurs before calcification, the two teeth are completely united to form a single large tooth.<br>• If the union occurs after calcification, this is union of roots only. The tooth may have separate or fused root canals.<br>• Fusion of teeth is more common in deciduous teeth.</td></tr>
</table>",
Oral Pathology,Developmental Disturbances,2,The term dilaceration refers to,A deformity of a tooth consisting of a sharp bend in the root,Abrasions on two surfaces of a single tooth,A root or tooth that is split into two,A tooth that is fractured at two or more places,A,[A] [Shafer 7th ed 41/ 6th ed 40],
Oral Pathology,Developmental Disturbances,3,Peg-shaped incisors which taper towards the incisal edge are typically seen in all of the following conditions EXCEPT,Congenital syphilis,Rickets,Anhidrotic ectodermal dysplasia,Supernumerary teeth,B,[B] [Shafer 7th ed 52 for option ‘A’; 637 Fig 19.1 for ‘B’; 806 for option ‘C’; 47 for option ‘D’],
Oral Pathology,Developmental Disturbances,4,"In erythema migrans, which papilla of tongue are absent",Fungiform.,Foliate.,Filliform.,Circumvallate,C,"[C] [Shafer 4th ed 28]
Erythema migrans / wandering rash / geographic tongue (KCET-10) is other name for benign migratory glossitis.",
Oral Pathology,Developmental Disturbances,5,Globulomaxillary cyst is,Soft tissue cyst present often between maxillary lateral incisor and cuspid teeth.,Often present between incisor and cuspid teeth but is a bone cyst,A cyst present between the midline of the palate,A cyst present in the incisive canal,B,"[B] [Shafer 7th ed 64/ 6th ed 64]
It is also called as premaxilla-maxillary cyst. It characteristically appears as inverted, pear shaped radiolucent area between roots of lateral incisor and cuspid. Histologically this cyst resembles odontogenic keratocyst.",
Oral Pathology,Developmental Disturbances,6,Which of the following features are of naso alveolar cyst,An ovoid shaped radiolucency above the lateral incisor and canine teeth,Erosion of base above lateral incisor and canine teeth,An inverted funnel shaped radiolucent lesion above the roots of lateral incisor and canine teeth,A pear shaped radiolucent lesion between roots of lateral incisor and canine teeth.,B,"[B] [Shafer 7th ed 67/ 6th ed 66]
<table><tr><th>Radiologic feature</th><th>Cyst</th></tr>
<tr><td>Ovoid or heart shaped radiolucency between or above the roots of maxillary central incisors</td><td>Median anterior maxillary cyst (<i>Nasopalatine</i> / Incisive canal cyst)</td></tr>
<tr><td>Inverted pear shaped radiolucent area between lateral incisor and cuspid</td><td>Globulomaxillary cyst (COMED-14)</td></tr>
<tr><td>Multilocular or unilocular well circumscribed lesion in midline of mandible</td><td>Median mandibular cyst</td></tr>
<tr><td>No radiologic feature</td><td>Nasolabial or klestadt’s cyst (a soft tissue cyst)</td></tr>
</table>",
Oral Pathology,Developmental Disturbances,7,"Facial edema, cheilitis granulomatosa and a fissured tongue characterize which of the following syndromes?",Frey,Melkerson-Rosenthal,Treacher Collins,None of the above,B,"[B] [Shafer 7th ed 22/ 6th ed 28]
Fissured tongue is seen in Melkersson-Rosenthal syndrome, Down syndrome and in some cases of benign migratory glossitis.
Melkersson-Rosenthal syndrome is characterized by triad of bell’s Palsy, persistent or recurring lip or facial swelling (cheilitis granulomatosa), and fissured tongue or lingua plicata. (COMEDK-10)",
Oral Pathology,Developmental Disturbances,8,Which of the following is a soft tissue cyst which do not produce any radiographic changes,Nasolabial cyst,Nasopalatine cyst,Mid alveolar cyst,Palatine cyst,A,"[A] [Shafer 7th ed 67/ 6th ed 66]
Nasolabial or klestadt’s cyst is a soft tissue cyst and involves the bone rarely.",
Oral Pathology,Developmental Disturbances,9,"The syndrome which consists of cleft palate, micrognathia and glossoptosis is known as",Marfan’s syndrome,Crouzon’s syndrome,Paget's disease,Pierre-Robin syndrome,D,"[D] [Shafer 7th ed 721/ 6th ed 717]
Micrognathia of maxilla is due to deficiency in premaxillary area.",
Oral Pathology,Developmental Disturbances,10,Developing ameloblasts are effected by the ingestion of high fluoride content water resulting in,Turner’s tooth,Hutchinson’s teeth,Mottled enamel,Moon’s molars,C,[C] [Shafer 7th ed 53/ 6th ed 52],
