Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Endodontics,AIPG - 2017 ENDODONTICS,1,Colour change in metamorphic calcification,Yellowish discoloration,Pinkish discoloration,Brownish discoloration,Greyish discoloration,a,"A' [Grossman 13th ed 107]
Calcific Metamorphosis is defined by the American Association of Endodontists as “A pulpal response to trauma characterized by rapid deposition of hard tissue within the canal space.” It is generally asymptomatic and clinically the patients present with yellow discoloration of the affected tooth crown. This discoloration is due to a greater thickness of dentine deposition.

This discoloration can be clinically recognized as early as 3 months after injury. Only 1-16% of these cases develop pulp necrosis.",
Endodontics,AIPG - 2017 ENDODONTICS,2,Highest incidence of Maxillary extra canal is seen in which tooth,Maxillary 1 PM,Maxillary 1st molar,Maxillary 2nd molar,Mandibular 1st PM,b,"B' [Grossman 13th ed 259].
The maxillary first molar usually has three roots with a single canal located in each root except with the mesiobuccal root in which a second canal may be present. With the use of magnification devices the incidence of this canal is as much as >90%.",
Endodontics,AIPG - 2017 ENDODONTICS,3,Hypersensitivity is seen with following medicament?,CHX,Povidone iodine,Oxygenated water,Peroxide (H2O2),a,"A' [Cohen 1st SA ed 256]
Chlorhexidine can also be used as intra canal medicament. Because of its substantivity, CHX has the ability to prevent bacterial colonization of root canal walls for prolonged periods of time. Allergic responses to CHX is rare, however some reactions like type1 hypersensitivity (anaphylaxis), contact dermatitis, urticaria have been reported following direct contact to mucosal tissue or open wounds",
Endodontics,AIPG - 2017 ENDODONTICS,4,Patient having tooth fracture without involving pulp having sensitivity is due to,Fluid flow in dentinal tubules,Stimulation of nerve ending,Due to extensive pressure created by occlusal contacts,Due to change in intrapulpal pressure,a,"A' [Cracked tooth syndrome: Overview of literature; Int J Appl Basic Med Res. 2015 Sep-Dec; 5(3): 164-168]
The sensitivity in a tooth fracture without involving pulp is caused by the two fractured sections of the tooth moving independently of each other, triggering sudden movement of fluid within the dentinal tubules, according to the “Hydrodynamic theory of dentin sensitivity”.",
Endodontics,AIPG - 2017 ENDODONTICS,5,Which of the instrument is used to locate the canal orifice,Smooth broaches,Endodontic explorer,Canal opener,Gates Glidden drill,b,"B' [Nisha Garg 3rd ed 145 ]
Both smooth broach and endodontic explorer can be used to locate the canal orifices and determine the patency of canals. To pick a single best answer, option B (endodontic explorer) is more appropriate.

An endodontic explorer is a double ended instrument, one end is straight used to locate the root canal orifices after the removal of the pulp chamber, and the other end is L shaped which aids in detecting the unremoved parts of the tooth as the roof of pulp chamber.",
Endodontics,AIPG - 2017 ENDODONTICS,6,The most favourable prognosis of the type of root fracture is seen in,Apical third,Middle third,Cervical third,Junction of middle and cervical third,a,"A' [Grossman 13th ed 430]
Apical third root fracture has most favourable prognosis because there is usually no mobility and the tooth may be asymptomatic. The apical segment of the fractured tooth remains vital in most of the cases. Thus no treatment is required and a watch and observe policy is advocated.",
Endodontics,AIPG - 2017 ENDODONTICS,7,Bite test is used for detection of,Cracked tooth,Pulp vitality,Bite force measurement,occlusal discrepancy,a,"A' [Grossman 13th ed 63]
Bite test is used for detection of cracked tooth. Tooth sloth is a valuable tool for detecting the involved cusp with fracture.",
Endodontics,AIPG - 2017 ENDODONTICS,8,Most numerous fibers in dental pulp are,A-delta,A-beta,C fibres,Gamma fibres,c,"C' [Holland GR, Robinson PP. The number and size of axons at the apex of the cat’s canine tooth. The Anatomical record. 1983; 205(2): 215 - 22.]
There are both myelinated (20 - 25 %) and unmyelinated (75 - 80 %) afferent nerve fibers in the pulp. The myelinated fibers belong predominantly to the A-Delta and a few A-Beta. The non-myelinated nerves are C-fibers. So apparently C-fibres are numerous in dental pulp.

NOTE: The nerve fibres in recently erupted teeth with open apices may not yet have acquired the myelin sheath. So the ratio of myelinated to unmyelinated fibres is difficult to be constant.",
Endodontics,AIPG - 2017 ENDODONTICS,9,Diameter at D16 of file 35,.67mm,.35mm,.067mm,.035mm,a,"A' [Grossman 13th ed 289]
• The diameter at D1 of file 35 = 35/100= 0.35
• For each 1mm the taper increases by 0.02 mm
• The taper at D16 (16mm from tip)= 16X0.02= 0.32 mm
• The diameter at D16 of file 35 = 0.35+0.32= 0.67 mm",
Endodontics,AIPG - 2017 ENDODONTICS,10,Change in color of traumatized tooth is evident in,1 to 2 weeks after injury,2 to 3 weeks after injury,3 to 4 weeks after injury,Within few days,b,"B' [McDonald 10th ed 580]
The extravasated blood in trauma is absorbed into the dentinal tubules and there is pigment formation in the tubules. Change in color is evident within 2-3 weeks after the injury.",
Endodontics,AIPG - 2017 ENDODONTICS,11,High heat obturation technique is,thermofill,ultrafill,sectional filling,obtura II,d,"D' [Cohen 10th ed 681]
Obtura system is “high-heat” and Ultrafil is “low-heat” thermoplasticized GP obturation techniques.",
Endodontics,AIPG - 2017 ENDODONTICS,12,Triple antibiotic paste is applied at,CEJ,Apical to CEJ,Cementodentinal junction,Coronal to CEJ,b,"B' [Cohen 10th ed 465]
The clinical disinfection protocol in revascularization procedure followed :
• The triple antibiotic paste is placed in the canal to a depth slightly apical to the CEJ with a lentulo spiral. This prevents the discoloration of the crown. The access cavity is sealed with 2 mm-thick cavit and then glass ionomer cement to create double seal.
• After 14-21 days, the patient is recalled for review. If the tooth is asymptomatic with lack of clinical signs of pathology in the next visit, the canal is reentered and irrigated with NaOCl and chlorhexidine followed by saline and dried.
• Then bleeding is induced inside the canal by over instrumentation. After blood clot is formed, MTA is placed 3mm below the level of CEJ (to prevent discoloration of the crown). The access cavity is sealed with bonded restoration and tooth is reviewed periodically.",
Endodontics,AIPG - 2017 ENDODONTICS,13,Working length is,0.5 - 1mm short of radiographic apex.,1-2 mm short of radiographic apex.,Exactly at apex.,1-2mm apical to apex.,a,"A' [Grossman 13th ed 308]
Working length (WL) is defined as the distance from a coronal reference point to a point at which canal preparation and obturation should terminate. Ideally should terminate at the apical constriction. This point coincides with CDJ; however the position of CDJ varies from root to root and cannot be located precisely on radiographs. For this reason the preparation should terminate 0.5 – 1 mm short of radiographic apex.

NOTE: Many studies concluded that preparation should terminate 0.5 – 1 mm short of radiographic apex in necrotic cases and 1-2 mm short of radiographic apex in irreversible pulpitis cases.",
