Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Pedodontics,3. TRAUMATOLOGY,1,Injuries to primary teeth occur mostly at,6 – 12 months,3 – 4 years,5 – 6 years,1 ½ – 2 ½ years,D,"'D' [Shobha Tandon 1st ed 492]
Children in the age group of 1 – 2 ½ years sustain injuries to the primary dentition most frequently. This is the age when a child learns to toddle and is relatively uncoordinated. 8 – 11 years children sustain injuries to the permanent dentition more frequently.",
Pedodontics,3. TRAUMATOLOGY,2,Avulsed tooth is not kept in water because,Water is a hypotonic solution causes rapid cell lysis,Water is a hypertonic solution causes rapid cell lysis,Water is a hypotonic solution causes shrinkage of cells,Water is a hypertonic solution causes shrinkage of cells,A,"'A' [Mc Donald 8th ed 488]
Water is hypotonic and its use leads to rapid cell lysis and increased inflammation on replantation.",
Pedodontics,3. TRAUMATOLOGY,3,8 year-old child had fractured his maxillary central incisor 10-months ago. The pulp shows no response. There is no Periapical lesion in the radiograph. The treatment of choice is:,Ca(OH)2 pulp capping,Formocresol pulpotomy,Conventional root canal treatment,Complete debridement and apexification,D,"'D' [Shobha Tandon 1st ed 357,520]
Treatment modalities for fractures involving pulp in permanent teeth.

<table border='1' cellpadding='4' cellspacing='0'><thead><tr><th>Procedure</th><th>Criteria</th></tr></thead><tbody><tr><td>Pulp capping</td><td>• Exposure of less than 1mm.<br>• Exposure not over 24 hrs.<br>• Minimal hemorrhage.<br>• Open apex.</td></tr><tr><td>Pulpotomy</td><td>• Relatively large exposure.<br>• Patient seen within 72 hrs.<br>• Moderate hemorrhage.<br>• Open apex.</td></tr><tr><td>Apexification</td><td>• Nonvital immature permanent teeth.</td></tr><tr><td>Pulpectomy</td><td>• Degenerated pulp.<br>• Pulp exposure greater than 72 hrs.</td></tr></tbody></table>",
Pedodontics,3. TRAUMATOLOGY,4,Apexogenesis of incompletely formed root is:,Induce the formation of apical 1/3 of root,Closure of apical formation in a developing tooth,Induce the formation of apical 2/3 of root,Deposition of cellular cementum at open apex,B,'B' [Shobha Tandon 1st ed 357],
Pedodontics,3. TRAUMATOLOGY,5,Which of the following medicaments is indicated to obturate the canals of a primary tooth in which a pulpectomy was performed:,Gutta-percha,Calcium hydroxide,Zinc oxide-eugenol,Calciumhydroxide-CMCP paste,C,"'C' [Shobha Tandon 1st ed 353]
Option 'D' Calcium hydroxide – CMCP paste is used for Apexification.",
Pedodontics,3. TRAUMATOLOGY,6,A 11-year-old child comes to the dental office one hour after injury to a maxillary central incisor. The tooth is vital and slightly mobile. Radiographic examination reveals a fracture at the apical third of the root. What is the best treatment at this point of time:,Render palliative therapy,Extract the tooth,Relieve the occlusion and splint the tooth,Perform immediate root canal treatment and splint,C,"'C' [Shobha Tandon 1st ed 521]
Fractures occurring in the apical third have the best prognosis. The teeth usually remains vital.

Coronal root fractures have the poor prognosis. After radiographic and clinical assessment, these teeth are usually subjected to digital reduction and stabilization by splinting.",
Pedodontics,3. TRAUMATOLOGY,7,"Babu, a 7 ½ years old child, reports with a fracture of central incisor with an open apex, there is large pulpal exposure. The treatment of choice is:",Smooth the edges and protect the exposed portion with ZOE dressing,Pulpectomy and calcium hydroxide dressing,Pulpotomy and calcium hydroxide dressing,Direct pulp capping calcium hydroxide dressing,C,'C' [Shobha Tandon 1st ed 520],
Pedodontics,3. TRAUMATOLOGY,8,A 4 year old child sustained a fracture in central incisor one month ago. On examination a necrotic pulp was seen with no other pathological findings. The treatment of choice is,Watchful observation,Extraction followed by space maintainer,Pulpectomy and root canal filling with gutta percha,Endodontic treatment and root canal filling with ZOE.,D,'D' [Shobha Tandon 1st ed 516],
Pedodontics,3. TRAUMATOLOGY,9,A child who has an avulsed tooth ½ hour back should carry the tooth to the dentist in:,Cold milk,Normal saline,Wrapped in a wet handkerchief,Buccal vestibule,A,"'A' [Mc Donald 8th ed 487]
Isotonic saline or pasteurized whole bovine milk are the most favourable storage medium. If neither of these solutions are readily available human saliva is preferable. Balanced Hank's solution (or) SAVE-A-TOOTH solution is an isotonic salt solution used for carrying the avulsed tooth. There is no treatment for avulsed primary tooth.

Option 'D' is the correct answer for carrying the avulsed permanent tooth in adults.",
Pedodontics,3. TRAUMATOLOGY,10,"A permanent tooth bud, which has been accidentally removed during extraction of a deciduous tooth, should be:",Discarded,The socket curetted and the tooth bud replanted,Pulpectomy of the tooth bud and placed into the socket,Place deep into the socket from where it was removed.,D,'D' [Shobha Tandon 1st ed 474],
