Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,1,Patient with IQ 90-110 is,Mentally retarded,Superior,Average,Extremely Superior,C,"C' [Check Explanation Below]

| IQ Range | IQ Classification |
|---|---|
| 130 and above | Very superior |
| 120â129 | Superior |
| 110â119 | High Average |
| 90â109 | Average |",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,2,A 5 yr old boy with roots stumps at 75. What is the treatment plan?,Stainless steel crown,No Treatment,Extraction and wait and watch,Extraction and distal shoe space maintainer,D,"D' [Shobha Tandon 1st ed 396]
Distal shoe space maintainer is indicated, when there is premature loss of the second primary molar or at the time of extraction of primary second molar, prior to eruption of the first permanent molar. The appliance provides greater control of path of eruption of the unerupted tooth and prevents mesial migration.

In the given case scenario, the age of the boy is 5yrs only and the first permanent molar is not erupted; also, the second primary molar needs extraction. So extraction and Distal shoe space maintainer is indicated.",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,3,"When a favourite toy is taken from the misbehaving child, the negative behavior is reduced how will you describe this situation",Omission,-ve reinforcement,+ve reinforcement,Punishment,A,"A' [Refer AIPG 2017-18 section]
Omission refers to the removal of the pleasant response after a particular response,

Eg 1: if the child misbehaves during the dental procedure, his favourite toy is taken away for a short time.

Eg 2: sending mother outside.

For other contingency management techniques refer AIPG 2017-18 section.",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,4,The child is thrown into temper tantrums cries forcefully and denies treatment showing extremely negative behavior. The Frankel behavior scale for this behavior is?,I,II,III,IV,A,"A' [Mc Donald 6th ed 39]

| Frankel's behaviour rating scale | |
|---|---|
| Definitely negative (- -) | â¢ Refuses treatment
â¢ Cries forcefully
â¢ Extremely negative behaviour associated with fear |
| Negative (-) | Reluctant to accept treatment and displays evidence of slight negativism. |
| Positive (+) | Accepts treatment but during treatment may become uncooperative. |
| Definitely positive (++) | â¢ Unique behaviour.
â¢ Good rapport with the dentist
â¢ Looks forward to and understands the importance of good preventive care. |

Frankel behavior is divided into how many numbers (AIPG-2017)
a) 1   b) 2
c) 3   d) 4",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,5,Young's formula,(Body wt X adult dose)/20,(Body wt X adult dose)/ 150,(height X adult dose)/20,(age X adult dose)/(Age+12),D,"D' [Refer Synopsis]
Formulae for calculating drug dosage:

a) Depending on age

Youngs : Child age / (Age +12) x Adult dose

Cushings : Child age / 24 x Adult dose

Cowlings : Age to the next birthday / 24 x Adult dose

b) Depending on Body Weight

Clark's rule: Child weight (in lbs) / 150 x Adult dose

Augsberges rule: 0.7x Weight in lbs = % of Adult dose

Option 'B' is Clarks rule.",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,6,Basic pediatric behaviour management technique include all of the following except,Voice control,TSD,HOME,Positive reinforcement,C,"C' [Shobha Tandon 1st ed 152]
Hand Over Mouth Exercise (HOME) is the behaviour modification method which comes under ""aversive conditioning"".",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,7,"A technique of child management towards a desired behaviour is called,",Shaping,Extinction,Chaining,Association,A,"A' [Mc Donald 8th ed 45]
Behavior shaping is a form of behavior modification technique based on principles of social learning. It is the procedure that slowly develops desired behavior. The behavior shaping techniques are:
â¢ Desensitization (TSD)
â¢ Modelling
â¢ Contingency management",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,8,Distal shoe was developed in 1929 by:,Roche,Willet,Graber,William,B,"B' [Gurkeerat Singh 1st ed 559]
â¢ In 1929 Willet presented the first distal shoe space maintainer made of cast gold. This distal extension consisted of an L-shaped bar with an intra-alveolar extension which was soldered to the crown.
â¢ In 1942 Roche modified the distal extension with a V shaped intra-alveolar extension. The V shape offers a broader surface area and helps prevent rotations. It's the most commonly used one.",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,9,"In primary molars, calcium hydroxide pulpotomy causes:",External resorption,Pulp calcification,Pulp fibrosis,Internal resorption,D,"D' [Shobha Tandon 1st ed 339]
Ca(OH)2 pulpotomy is not indicated in primary teeth due to chance of occurring internal resorption.",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,10,Etching time of primary teeth is longer than permanent because,Primary teeth â aprismatic and wavy orientation,Primary teeth â less calcified,Both A and B are correct,No difference in etching,C,"C' [Phillips 12th ed 261]
â¢ Deciduous teeth have an outer layer of aprismatic or prismless enamel. They require a longer etching time. Earlier it was advocated 120s, but now reduced to 60 s and more recently to 30s for bonding of pit and fissure sealants and orthodontic brackets.
â¢ A significant research in this field made it clear that very long etching periods did not improve the bond strengths of the currently available adhesives.
â¢ The presence of a ""prismless"" layer on the enamel surface which appears due to lack of the normal prism delineations, could interfere with tag formation and hence, reduce bonding to such surfaces.
â¢ Enamel and dentin are less mineralized in primary teeth as compared to permanent teeth Clinical significance: More time is needed for acid-etching of primary teeth- Nisha Grag 3rd ed 236",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,11,"Which of these is the preferred evidence based method for treatment of permanent maxillary central incisor of a 9 year old child which is non â vital, open apex without blunderbuss",Revascularization,Calcium hydroxide apexification,MTA barrier,RCT using large master cone,C,"C' [M Duggal et al: Interventions for the endodontic management of non-vital traumatised immature permanent anterior teeth in children and adolescents: a systematic review of the evidence and guidelines of the European Academy of Paediatric Dentistry.]
â¢ Based on the available evidence the European Academy of Paediatric Dentistry proposes Good Clinical Practice Points as a guideline for the management of such teeth. It is proposed that the long term use of calcium hydroxide in the root canals of immature teeth should be avoided and apexification with calcium hydroxide is no longer advocated.
â¢ The evidence related to the use of a Regenerative Endodontic Technique is currently extremely weak and therefore this technique should only be used in very limited situations where the prognosis with other techniques is deemed to be extremely poor. The current review supports the use of MTA followed by root canal obturation as the treatment of choice.",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,12,6-year-old child comes to clinic with mobile 11 as shown in figure. Appropriate treatment would be,Wait and watch,Extraction,Splinting,None of the above,C,"C' [Guidelines for the management of Traumatic Dental Injuries: Fractures and Luxation of Permanent teeth.Pg:402 AAPD guidelines]
Splinting type and duration: current evidence supports short term non rigid splints for splinting of luxated teeth as it is considered best practice to maintain the repositioned tooth in correct position, provide patient comfort and improved function.",Requires image: Clinical photograph showing mobile tooth 11 in a 6-year-old
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,13,"Regarding Electra complex
A. Given by C.G. Jung
B. Seen in girl child
C. It is present in phallic stage
D. Seen in boy child","A, B and C are correct.","A, B, C, and D are correct.",A and D are correct,Only A is correct,A,"A' [Shobha Tandon 1st ed 122]
The Electra complex is a psychoanalytic term used to describe a girl's sense of competition with her mother for the affections of her father. It is comparable to the male Oedipus complex. In Neo-Freudian psychology, the Electra complex, as proposed by Carl Jung in his Theory of Psychoanalysis. But, Freud refuted C.G. Jung's concept of the electric complex, and replaced it with his own term, the female Oedipus complex.

| Stage | Age | Focus | Major development | Fixation |
|---|---|---|---|---|
| Oral | Birth to 18 months | Mouth-sucking, chewing, biting | Weaning off of breastfeeding | Smoking, overeating |
| Anal | 18 months to 3 years | Anus- bowel and bladder elimination | Toilet training | Orderliness, messiness |
| Phallic | 3-6 years | Genitals- coping with incestuous sexual feelings | Resolving Oedipus and Electra Complex | Deviancy, sexual dysfunction |
| Latency | 6- puberty | None- dormant sexual feeling | Developing defense mechanisms | None |
| Genitals | 12+ | Genitals- maturation of sexual interest | Reaching full sexual maturity | If all the stages are successfully completed, the person would be sexually mature and mentally healthy. |

Note: Both Oedipus and Electra complex are resolved by a process called identification of parents, adopting their values and morals.",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,14,"What all can be the reason for this ""self-inflicted lip injury"" shown in the image
A. Lesch- Nyhan syndrome.
B. Congenital insensitivity to pain
C. Sensory deficit by birth
D. Peutz Jegher's Syndrome",A and C,"A, B and C",B and D,B and C,B,"B' [Mc Donald 9th ed 389]
Self-injury or self-mutilation is defined as a behavioral disturbance that consists of deliberate destruction of or damage to body tissues that is not associated with a conscious intent to commit suicide. It is generally agreed that self-injury is very common among patients with Lesch-Nyhan syndrome, congenital insensitivity to pain with anhidrosis, Cornelia de Lange syndrome, and mental retardation. The sites most frequently affected are lower lip and tongue.",Requires image: Clinical photograph showing self-inflicted lip injury
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,15,"Assertion: Bone movement is more in adolescents than adults.
Reason: Young's modulus of PDL is higher in adults, which do not allow adaptation of PDL.","Both assertion and reason are correct, and independent of each other",Both assertion and reason are correct and related to each other.,Only assertion is correct,Only reason is correct,B,"B' [Check Explanation Below]
Age is one of the factors affecting displacement of teeth. Young's modulus is the most important determinant in instantaneous tooth displacement. The Young's modulus of the periodontal ligament (PDL) was demonstrated to be greater in the adults than in the adolescent subjects. The differing biomechanical properties of the PDL in adults were demonstrated to result in almost equivalent or somewhat increased stress levels in the PDL in adult subjects. It is suggested that this might produce a reduction in the biological response of the PDL and thus lead to a delay in tooth movement in adults.",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,16,"Theme: tooth mobility: Choose answer from the following options:
Case 1: A 6-year-old child fell down from stairs 1 day back and has injuries on upper lip and face; His lower anteriors fell down 10 days back.",Gingivitis,Caries,Periapical granuloma,Periodontitis,E,"E' [Answer: E â Physiologic tooth shedding]
Options included: a) Gingivitis b) Caries c) Periapical granuloma d) Periodontitis e) Physiologic tooth shedding f) Periapical granuloma g) OKC h) External inflammatory resorption",
Pedodontics,10. RECENT PAPERS 2019-20 PEDODONTICS,17,"A 10-year-old girl while playing got his upper tooth avulsed 1 year back, which was later splinted by a local dentist within 3 hours of avulsion. On IOPA, the periapical area seems normal & on mesial side of root, there was loss of lamina dura & radiolucent region.",Gingivitis.,Caries.,Periapical granuloma.,Periodontitis.,H,"H' [Andreasen textbook and colour atlas of traumatic dental injuries to teeth. 4th ed]
External inflammatory resorption and replacement resorption are complicating factors that may result from traumatic dental injuries when the tooth is luxated or avulsed and replanted.

Changes observed show three root resorption patterns:
â¢ External surface resorption (ESR): rounding of proximal fracture edges at the periodontal side of fracture
â¢ Internal surface resorption (ISR): rounding of fracture edges centrally, at the pulpal side of fracture
â¢ Internal tunneling resorption (ITR): resorption which burrows behind the predentin layer and the root canal walls of the coronal fragment.",
