"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"Dental Materials","AIPG 2017 Dental Materials","1","The process in which a material melts to form a crystalline phase and a liquid phase known as","Incongruent melting","Congruent Melting","Sintering","Ceramming","A","Incongruent melting is the process by which one material melts to form a liquid plus a different crystalline material. An example is feldspar. One of the important properties of feldspar is its tendency to form crystalline leucite (K2O.Al2O3.4SiO2) when melted. Leucite is a potassium-aluminum-silicate mineral with a high coefficient of thermal expansion (20 to 25 x 10^-6/K) compared with feldspar glasses that have much lower coefficients of thermal expansion (8.6 x 10^-6/K). When feldspar is heated at temperatures between 1150°C and 1530°C, it undergoes incongruent melting to form crystals of leucite in a liquid glass. This tendency of feldspar to form leucite during incongruent melting controls thermal expansion during the use of porcelains for metal bonding. [Anusavice 12th ed, p.430]",""
"Dental Materials","AIPG 2017 Dental Materials","2","Tear strength of which is least?","Poly Sulphide","Polyether","Addition Silicone","Condensation Silicone","C","Poly sulphides have highest tear strength followed by polyether, condensation silicone and addition silicone. The ranking of tear strength from the lowest to highest of the impression materials: Silicones (addition and condensation) < Polyether < Polysulfide. [Anusavice 12th ed, p.170,172 / Dental Materials by Rama Krishna Alla 1st ed, p.178,183,239,245]",""
"Dental Materials","AIPG 2017 Dental Materials","3","Hardener in gypsum is","2% K2SO4","Sodium sulphate","4% K2SO4","Nacl","A","Both agar and alginate impression materials retard the setting reaction of gypsum products. In addition, a small percentage of borax is added to strengthen the agar gel; borax also acts as a potent retarder for the setting of gypsum. After an agar impression is taken, excess is trimmed and the impression is stored in 2% potassium sulfate (accelerator/hardener), which controls water volume and gives better surface integrity to the stone for 5 to 20 minutes. The potassium sulfate solution gives a harder surface to the stone die material. Alginate materials are added with 3% potassium titanium fluoride by the manufacturer as a gypsum hardener/accelerator. Die materials have less resistance to abrasion; attempts have been made to increase the hardness of gypsum products by incorporation of the set gypsum with methylmethacrylate that is allowed to polymerize, which increases strength and hardness. A wetting agent such as ""lignosulfates"" is added to reduce the water requirement of a stone and enable production of harder, stronger, denser set gypsum. [Anusavice 12th ed, p.164]",""
"Dental Materials","AIPG 2017 Dental Materials","4","Stearic acid is added in impression compound for","Increased Plasticity Of Material","Increased Flow Of Material","Decreased Flow Of Material","Decreased Plasticity Of Material","A","Impression compounds are composed of a mixture of waxes, thermoplastic resins, filler, and a coloring agent. The waxes or resins are the principal ingredients of the matrix. Filler is added to increase the viscosity at temperatures above that of the mouth and to increase the rigidity of the compound at room temperature. Shellac, stearic acid, and gutta-percha are added to improve plasticity and workability. [Anusavice 12th ed, p.178]",""
"Dental Materials","AIPG 2017 Dental Materials","5","Fins in casting are seen","Round margin in casting","Too long heating","Air bubbles on wax","Cracking of investment","D","Too rapid heating will cause cracking of the investment. In such a case, the outside layer of the investment expands much more than the center sections; consequently the outside layer starts to expand thermally, resulting in compressive stress in the outside layer, which counteracts tensile stresses in the middle regions of the mold. Such a stress distribution causes the brittle investment to crack from the interior to outward in the form of radial cracks. The molten alloy flows into these cracks and produces a casting with fins or spines. This condition is especially likely with a cristobalite investment. The comparatively low inversion temperature of cristobalite and the rapid rate of expansion during the inversion make it especially important to heat the investment slowly. [Anusavice 12th ed, p.218]",""
"Dental Materials","AIPG 2017 Dental Materials","6","Size of ZnPo4 used for luting?","25 Microns","40 Microns","45microns","15 Microns","A","The film thickness of an ideal luting cement should be less than or equal to 25 µm. According to ADA specification number 8 for type I (luting) Zinc phosphate cement, the film thickness is less than or equal to 25 µm. [Anusavice 12th ed, p.307,311 / Dental Materials Science by Rama Krishna Alla 1st ed, p.102]",""
"Dental Materials","AIPG 2017 Dental Materials","7","Strength of gypsum products is generally expressed in terms of?","Compressive Strength","Tensile Strength","Wet Strength","Green Strength","A","The strength of set gypsum products is generally expressed in terms of compressive strength, although diametral tensile strength should also be considered to determine the overall strength characteristics. [Anusavice 12th ed, p.188]",""
"Dental Materials","AIPG 2017 Dental Materials","8","Stiffness is related to?","Resistance to elastic deformation.","Degree of elastic deformation","Resistance to plastic deformation","Degree of plastic deformation","A","Stiffness or rigidity may be defined as the resistance of a material to elastic deformation. Generally, the materials with highest elastic modulus are considered as stiffest. The term elastic modulus represents the relative stiffness or rigidity of a material within the elastic range. [Dental Materials Science by Rama Krishna Alla 1st ed, p.19]",""
"Dental Materials","AIPG 2017 Dental Materials","9","Varnish is used under which cement?","Amalgam","ZOE cement","Zinc Phosphate Cement","Glass Ionomer cement","C","A cavity varnish must be used to protect the pulp from the acidic components that are released from overlying cement bases like zinc phosphate cements. When a cavity varnish or dentin bonding agent is indicated to seal a restoration, the base often governs the order of material application. If a zinc phosphate cement base is used, a sealing (varnish) material should be applied to the cavity walls before placement of the base. For the more biocompatible cement base materials (e.g., calcium hydroxide, ZOE, polycarboxylate, and GIC), the base cement is placed, followed by the cavity varnish after the base has hardened. For resin-based composites, calcium hydroxide and GIC are satisfactory base cements. [Anusavice 12th ed, p.316]",""
"Dental Materials","AIPG 2017 Dental Materials","10","Most common problem faced with single etch adhesive system is","Phase separation","Technique sensitive","Collagen fiber collapse","Increased viscosity","A","In recent years, the etching step of dental structures has been merged with the priming and bonding steps, giving rise to the self-etch strategy one-bottle self-etch adhesives. The etchant, the primer and the adhesive resin have been incorporated into one bottle, resulting in single-step application, which allows simultaneous etching and priming of tooth structures with one adhesive component. Previous studies have attributed unfavorable bond defects, including nanoleakage, water trees, bubbles, and phase separation at adhesive resin-tooth interfaces of all-in-one and one-bottle adhesives to their high water content. Phase separation may take place due to hydrolytic instability of self-etch adhesive systems. [Fundamentals of Operative Dentistry by Summit 3rd ed, p.226]",""
"Dental Materials","AIPG 2017 Dental Materials","11","Least soluble cement","Resin","ZOE","Polycarboxylate","Silicate Cement","A","Order of Solubility from lowest to highest: Resin Cement < ZOE < Zinc Phosphate/Zinc polycarboxylate < Compomer < RMGIC < GIC.

| Cement | Solubility in water (Wt%) |
|---|---|
| Resin Cement | 0 – 0.01 |
| ZOE | 0.04 |
| Zinc Phosphate | 0.06 |
| Zinc Polycarboxylate | 0.06 |
| Compomer | 0.69 |
| Resin Modified GIC (RMGIC) | 1.00 |
| Glass Ionomer | 1.25 |

[Anusavice 12th ed, p.311]",""
"Dental Materials","AIPG 2017 Dental Materials","12","Incomplete casting is due to","Narrow Sprue","Wide Sprue","Porous Material","Rapid Solidification Shrinkage","A","Incomplete casting is due to incomplete filling of mold by molten alloy. The common causes which inhibit the ingress of the liquefied metal are: insufficient venting (if the air cannot be vented quickly, the molten alloy does not fill the mold before it solidifies); high viscosity of metal due to insufficient heating; incomplete elimination of wax residues from the mold — if too many products of combustion remain in the mold, the pores in the investment may become filled so that the air cannot be vented completely; and narrow sprue diameter, etc. [Anusavice 12th ed, p.227-228]",""
"Dental Materials","AIPG 2017 Dental Materials","13","ZOE is made eugenol free by","Acetic Acid","Alginic Acid","Phosphoric Acid","Ortho-Ethoxy Acid","D","One of the chief disadvantages of ZOE pastes is the possible stinging or burning sensation caused by the eugenol as it leaches out and contacts soft tissues. Zinc oxide can react with various carboxylic acids and form ZOE-like materials. Orthoethoxybenzoic acid (EBA) is a valuable substitute for eugenol in this regard. Bactericidal agents and other medicaments can also be incorporated without interfering with the reaction. Orthophosphoric acid is used as liquid in zinc phosphate cements; poly acrylic acid is used as liquid in zinc polycarboxylate and glass ionomer cements. [Anusavice 12th ed, p.197]",""
"Dental Materials","AIPG 2017 Dental Materials","14","Coupling agent present in composite","Organosilanes","Silica","BIS-GMA","TEGDMA","A","Composition of dental composites includes coupling agents, which act as bonding agents between fillers and the resin matrix, e.g., gamma-methacryloxy propyl trimethoxysilane, an organosilane. [Anusavice 12th ed, p.278]",""
"Dental Materials","AIPG 2017 Dental Materials","15","Shape of stainless steel wire determine","Stiffness","Resilience","Yield strength","Percentage elongation","A","Stiffness is the measure of the force required to bend or otherwise deform the material to a definite distance; it is the rate of force delivery required for inactivation. Stiffness is proportional to the modulus of elasticity and cross-section (shape/geometry) of a given wire and is not appreciably influenced by any hardening treatment. Stiffness and springiness are reciprocal properties: Stiffness = 1/Springiness. Factors affecting stiffness, strength and range include the mechanical arrangement (e.g., length of archwire), the form of the wire itself (size and shape of cross-section, i.e., geometry), and the material/alloy composition and hardness. [Khamatkar A, Ideal Properties of Orthodontic Wires and their Clinical Implications – A Review, IOSR Journal of Dental and Medical Sciences, 2015;14(1):47-50]",""
"Dental Materials","AIPG 2017 Dental Materials","16","Temperature for brazing is","250°","250-350°","350-450°","> 450°","D","Soldering, brazing, and welding are all methods of joining two or more pieces of metal. In welding, the two metals (or thermoplastics) must be similar; welding uses high temperatures to melt and join two metal parts. Brazing is a group of joining processes that produce coalescence of materials by heating them to the brazing temperature and using a filler metal (solder) having a liquidus above 840°F (450°C), and below the solidus of the base metals. Soldering is a low-temperature analog to brazing; soldering takes place with fillers that melt at below 840°F (450°C). In dentistry, many metals are joined by brazing, although the term soldering is commonly used. [Anusavice 12th ed, p.367]",""
"Dental Materials","AIPG 2017 Dental Materials","17","Most common accelerator in gypsum is","NaF","Aluminosilicate","Potassium sulphate","Potassium fluoride","C","The chemical that increases the rate of hemihydrate dissolution or precipitation of dihydrate accelerates the setting reaction. The most commonly used accelerator is potassium sulfate, which is particularly effective in concentrations greater than 2%. Other accelerators: slurry water, NaCl (2%), Sodium Sulfate (3.4%). Retarders: ABCs (Acetates, Borates and Citrates). Borax acts as a retarder for setting of gypsum products; however, borax at a concentration less than 0.2 mM (about 0.08 g/L) acts as an accelerator. Greater than 2% NaCl and more than 12% of Sodium sulphate act as retarders. Colloidal systems like blood, saliva, and hydrocolloid impression materials also act as retarders. [Anusavice 12th ed, p.186 / Dental Materials Science by Rama Krishna Alla 1st ed, p.239]",""
"Dental Materials","AIPG 2017 Dental Materials","18","Most common accelerator added to gypsum product","Sodium Chloride","Potassium sulphate","Sodium Phosphate","Acetates","B","Repeat from previous session — see explanation for Q17: potassium sulfate is the most commonly used accelerator for gypsum products, particularly effective at concentrations greater than 2%.",""
"Dental Materials","AIPG 2017 Dental Materials","19","Crocus cloth is","Emery","Iron oxide(rouge)","Copper oxide","Tin oxide","B","Crocus cloth is an abrasive sheet similar to sand paper covered with a layer of very fine loose ferric oxide glued to one side. It is used for fine abrading or polishing. Emery is a mixture of aluminium oxide (Corundum) and iron. Garnet is a silicate mineral with a combination of other minerals such as Al, Co, Mg, Fe and Mn. Pumice contains silica as a major ingredient. Rouge is a fine red powder composed of iron oxide. [Anusavice 9th ed, p.562]",""
"Dental Materials","AIPG 2017 Dental Materials","20","Wax used in inlay cast metal fabrication","Casting wax","Inlay wax","Sticky wax","Utility wax","B","Inlay wax is a type of pattern wax available in sticks, cakes, blocks, in various colors (blue, green, purple). Uses: preparation of wax pattern for cast metal restorations like inlays, onlays, crowns, bridges. Types: Type I (soft) for indirect technique; Type II (hard) for direct technique. [Anusavice 12th ed, p.195]",""
"Dental Materials","AIPG 2017 Dental Materials","21","A copolymer which has a direct chain of one type and branches of other type is called a","Graft copolymer","Block copolymer","Random polymerisation","Branched chain polymerization","A","The polymer which is composed of more than one type of repeat unit is called a copolymer, and its process of formation is known as copolymerization.

| Type | Description |
|---|---|
| Alternating Copolymers | Different types of monomers in a polymer are distributed alternatively throughout the chain. |
| Random Copolymers | Different monomer units in a polymer are distributed in random throughout the chain; the polymer is called random copolymer. |
| Block Copolymer | When a block of one repeat unit is followed by a block of another repeat unit, which in turn is followed by the first repeat unit, and the polymer is called block polymer. |
| Graft Copolymer | Graft copolymers are branched molecules where the main chain is made entirely of one repeat unit, while the branched chains are made of yet another repeating end. |

[Dental Materials by Rama Krishna Alla 1st ed, p.55]",""
"Dental Materials","AIPG 2017 Dental Materials","22","From clinical point of view, property of composite is to provide","Translucency","Transparency","Opacity","Brittleness","A","Translucency is a property of substances that permits the passage of light but disperses the light, so objects cannot be seen through the material. Tooth enamel has inherent translucency, thus the task in dentistry is finding an esthetic dental restoration that has translucency properties similar to human enamel. To render a restoration imperceptible, appropriate levels of translucency are required; this characteristic can be idealized by harmonizing the optical properties of the restoration with those of the adjacent natural teeth. Composite resins tend to produce natural-looking restorations largely because they are relatively translucent. The translucency of dental resin composites depends on their thickness and the scattering and absorption coefficients of the resin, filler particles, pigments, and opacifiers. Thus, the inherent translucency of the material may contribute to matching the shade of the underlying tooth and the tooth adjacent to it. They provide a ""chameleon"" effect in small restorations, allowing the adjacent and underlying tooth structure to reflect or show through the restoration. [Comparative Translucency of Esthetic Composite Resin Restorative Materials. J Can Dent Assoc 2010;76:a84]",""
"Dental Materials","AIPG 2017 Dental Materials","23","In Co-Cr alloy, function of chromium is to provide","Increase in corrosion resistance","Increases strength","Increased toughness","Increase flexibility","A","Base metal alloys generally comprise the group of cast metals that rely on chromium for corrosion resistance. Chromium on the surface of the alloy rapidly oxidizes to form a thin layer of chromium oxide, which prevents the diffusion of oxygen into the underlying metals and improves its corrosion resistance. Chromium also strengthens the alloy by solution hardening. [Anusavice 12th ed, p.375]",""
"Dental Materials","AIPG 2017 Dental Materials","24","Green shrinkage occurs in","Gypsum investment","Ethylsilicate bonded investment","Phosphate bonded investment","Anhydrate of gypsum bonded investment","B","During the drying process of ethyl silicate investment material, the gel loses alcohol and water to form a concentrated, hard gel. As might be expected, a volumetric contraction accompanies the drying, which reduces the size of the mold. This contraction is known as 'green shrinkage', which is additive to the setting shrinkage. [Anusavice 12th ed, p.210]",""
"Dental Materials","AIPG 2017 Dental Materials","25","Microwave curing of acrylic resin depicts","Heat conduction","Energy connexion","Electrical resistance","electro Magnetic waves","D","Polymerization of acrylic resins can be accomplished by chemical activation, visible light activation or heating activation using hot water or microwave energy. Microwave oven is a device in which electromagnetic waves are produced by a generator called a magnetron, which is used to generate heat. Microwave heating is independent of thermal conductivity. Microwave radiation as a high-frequency electromagnetic wave exerts its function by frictional heating from its interaction with polar molecules; water molecules are polar molecules with the hydrogen side carrying a positive charge and the oxygen side carrying a negative charge. When microwave radiation hits the water molecules, they oscillate between two and five billion times to align themselves with the fluctuating microwave, and this rapid molecular rotation generates and uniformly distributes heat. Methylmethacrylate monomer molecules are also polar molecules and microwave energy heats them similarly. Advantages of microwave curing: saves time from several hours to few minutes; cleaner curing as it does not need water; better bond strength with acrylic teeth; equal or better dimensional accuracy; more color stability under conditions of accelerated aging; can also be used successfully with metallic removable partial denture frameworks. [Comparative evaluation of surface porosities in conventional heat polymerized acrylic resin cured by water bath and microwave energy with microwavable acrylic resin cured by microwave energy. Contemp Clin Dent 2013 Apr-Jun;4(2):147-151]",""
"Dental Materials","AIPG 2017 Dental Materials","26","Indium in metal are further added to","The tarnish resistance of metal","Help in corrosion resistance","Help in bonding","Impart color","C","Minute amounts of oxidizable elements such as iron, tin, and indium are added to high noble (HN) and noble (N) alloys used for metal-ceramic prostheses to promote bonding between the ceramic veneer and the metal oxide on the metal surface. [Anusavice 12th ed, p.72]",""
"Dental Materials","AIPG 2017 Dental Materials","27","The property common in amalgam and ceramic","Low compressive strength and high tensile strength","High compressive strength and low tensile strength","Equal compressive and tensile strength","High compressive and high tensile strength","B","Both amalgam and ceramics are brittle in nature. All brittle materials are good under compression and poor under tensile loads. [Anusavice 12th ed, p.377]",""
"Dental Materials","AIPG 2017 Dental Materials","28","Wettability is increased by","Increasing surface energy","Decreasing surface energy","It is directly proportional to contact angle","Adhesive forces are more important than cohesive","A","Wettability refers to how well a liquid spreads on a solid surface. It is influenced by surface energy (also called surface tension) and the contact angle (θ) between the liquid and the solid. Higher surface energy of a solid makes it more ""attractive"" to liquids, improving wettability. Wettability is inversely related to contact angle (lower θ = better wettability). Complete wetting occurs at a contact angle of 0° and no wetting occurs at an angle of 180°. Option D — adhesive forces are more important than cohesive — is partially true, but not the best answer; wettability improves when adhesive forces (liquid-solid) dominate over cohesive forces (liquid-liquid), but this is a consequence of high surface energy. [Anusavice 12th ed, p.26]",""
"Dental Materials","AIPG 2017 Dental Materials","29","Type II ZOE is","Intermediate restorative material","Temporary material","Long term luting agent for fixed prosthesis","Can be used as a base","C","According to ADA specification number 30, ZOE cements are classified as: Type I — Temporary luting cement for fixed prosthesis; Type II — Long-term luting cement for fixed prosthesis; Type III — Temporary restoration and thermal insulating base; Type IV — Intermediate restoration, cavity liner and chemical insulator. [Dental Materials by Rama Krishna Alla 1st ed, p.93]",""
