Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Dental Materials,1. PHYSICAL PROPERTIES,1,Stress is defined as,An applied load or force,A deformation resulting from an applied load,An external force opposing an applied load,An internal force opposing an applied load,D,"'D' [Phillips' 11th ed 77/ 12th ed 50]
Stress is force per unit area perpendicular to the force direction (the internal resistance set up within a body to resist an externally applied force).",
Dental Materials,1. PHYSICAL PROPERTIES,2,Strain is defined as,An applied load or force,A deformation resulting from an applied load,An external force opposing an applied load,An internal force opposing an applied load,B,'B' [Phillips' 11th ed 76/ 12th ed 51],
Dental Materials,1. PHYSICAL PROPERTIES,3,The proportional limit is,The maximum stress in a structure.,The minimum force required to cause a structure to break,The maximum stress that can be induced without permanent deformation,The maximum elongation under tension that can be measured before failure.,C,"'C' [Phillips' 11th ed 85/ 12th ed 57]
Stresses above proportional limit cause plastic deformation. This stress is called yield strength or proof stress. It is the greatest stress, produced in a material such that stress is directly proportional to the strain.",
Dental Materials,1. PHYSICAL PROPERTIES,4,The modulus of elasticity is defined as,The stress at the proportional limit,The strain at the proportional limit,The stress/strain ratio within the proportional limit,None of the above,C,"'C' [Phillips' 11th ed 80/ 12th ed 55]
Stress / Strain ratio within the proportional limit is called Elastic modulus or Young's modulus. It measures the relative rigidity or stiffness of material.",
Dental Materials,1. PHYSICAL PROPERTIES,5,Compressive stress is computed by dividing the external force by the,Area of the test specimen upon which the weight rests,Elasticity of the test specimen in strain,Length of the test specimen beneath the force,Strain of the test specimen per unit length,A,"'A' [Phillips' 11th ed 75/ 12th ed 51]
Stress is force per unit area perpendicular to the force direction.",
Dental Materials,1. PHYSICAL PROPERTIES,6,The greatest stress which may be produced in a material such that stress is directly proportional to the strain is know as,The elastic limit,The proportional limit,The yield strength,Modulus of elasticity,B,'B' [Phillips' 11th ed 87/ 12th ed 57],
Dental Materials,1. PHYSICAL PROPERTIES,7,The point at which a stress of a material exhibits a specific limited deviation P is called,Proportional limit,Tensile strength,Ultimate strength,Yield strength,D,"'D' [Phillips' 11th ed 87/ 12th ed 57]
Yield strength is the stress required to produce plastic deformation.",
Dental Materials,1. PHYSICAL PROPERTIES,8,Hardness number which does not depend on the ductility of metal,KHN,VHN,RHN,BHN,A,"'A' [Phillips' 11th ed 98/ 12th ed 65]
<table border='1' cellpadding='4' cellspacing='0'><thead><tr><th>Hardness test</th><th>Material used to measure</th></tr></thead><tbody><tr><td>Knoop hardness test</td><td>Diamond of rhombic shape (The long axis of indentation is measured)</td></tr><tr><td>Vickers (Diamond pyramid test)</td><td>Diamond of square base shape (The diagonal length of the indentation is measured)</td></tr><tr><td>Rockwell</td><td>Diamond of conical shape (The penetration depth is measured)</td></tr><tr><td>Brinells</td><td>Steel ball (The diameter of indentation is measured)</td></tr></tbody></table>
The Knoop hardness test is used to obtain the values for both exceedingly hard and soft materials. The hardness value is independent of the ductility of the material.",
Dental Materials,1. PHYSICAL PROPERTIES,9,Ability of an orthodontic wire to spring back to its original shape is evaluated by,Brittleness,Resilience,Tensile strength,Toughness,B,"'B' [Phillips' 11th ed 84/ 12th ed 57]
Resilience is the amount of energy absorbed by a structure when it is stressed to proportional limit. The elastic area of the stress-strain graph gives resilience; entire area up to breaking point is a measure of toughness. The slope of straight line gives Young's modulus.",
Dental Materials,1. PHYSICAL PROPERTIES,10,Brinell hardness number of a dental gold alloy is directly proportional to its:,Tensile strength,Elongation,Modulus of elasticity,Modulus of resilience,A,"'A' [Phillips' 11th ed 97/ 12th ed 64]
Brinnel and Rockwell tests are classified as macro hardness tests and they are not suitable for brittle materials.

The Knoop and Vickers tests are classified as micro hardness tests. Both of these employ loads less than 9.8N.

The Shore and the Barcol tests are used for measuring the hardness of rubbers and plastics.

The Brinnel test is the one of oldest tests used for determining the hardness of materials and is directly related to proportional limit and the ultimate tensile strength of dental gold alloys.

The convenience of the Rockwell test, with direct reading of the depth of the indentation, has lead to its wide usage.

The Knoop hardness test is used to obtain the values for both exceedingly hard and soft materials. The hardness value is independent of the ductility of the material.

The Vickers test is employed for dental casting gold alloys. It is suitable for determining the hardness of brittle materials.",
