Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Endodontics,4. DISINFECTION AND OBTURATION,1,Obturation of a root canal should achieve,Tug-back,hermetic seal,Fluid-free seal,All of the above,d,"D' [Grossman 12th ed 283]
""Tug back"" refer to apical seal fit of master cone. The obturation material should provide tight apical seal or fluid-free seal to prevent percolation of oral fluids into periapical area."
Endodontics,4. DISINFECTION AND OBTURATION,2,Mc Spadden compactor is of shape:,Reverse blade of K-file,Reverse blade of H-file,Endosonic instrument,None of the above,b,"B' [Grossman 12th ed 291]
Uses of H-file
â¢ Used for finishing coronal third of root canal
â¢ Used to flaring the fine and double curved root canals
â¢ Used in McSpadden compaction technique"
Endodontics,4. DISINFECTION AND OBTURATION,3,Activity of all disinfectants is:,Reduced by organic debris or blood,Increased with heat,Hastened by adding 5% oxygen,Nullified by ethylene dioxide gas,a,A' [Ingle 6th ed 995]
Endodontics,4. DISINFECTION AND OBTURATION,4,The purpose of a root canal sealer is to:,Seal the tubules of the dentine,Stimulate healing in periapical region,Prevent discoloration,Fill the space between solid core material and the pulp canal walls,d,D' [Cohen 10th ed 359]
Endodontics,4. DISINFECTION AND OBTURATION,5,An apical radiolucent area present in central incisor after 4 months of RCT is due to:,Inadequate obturation & leakage from main canal,Leakage from accessory canal,Leakage from gingival crevice,Leakage from access opening,a,"A' [Cohen 10th ed 349]
Inadequate obturation is the most frequent cause of RCT failure. According to study done by Ingle and colleagues, 58% of treatment failures were due to incomplete obturation."
Endodontics,4. DISINFECTION AND OBTURATION,6,G.P. is plasticized (softened) by,Alcohol,Chloroform,Eugenol,EDTA,b,"B' [Grossman 12th ed 282]
Chemical solvents like chloroform, xylol and Eucalyptol (plant product) softens and enables the gutta-percha to flow into small and tortuous canals."
Endodontics,4. DISINFECTION AND OBTURATION,7,Toxicity of AH26 sealer is due release of,Formaldehyde,Eugenol,Resin acid,Gluteraldehyde,a,"A' [Grossman 12th ed 303]
AH26 is an epoxy resin containing root canal sealer. The setting reaction of AH26 includes a polymerization process that causes the release of formaldehyde. Due to this AH 26 is claimed to be cytotoxic."
Endodontics,4. DISINFECTION AND OBTURATION,8,The micro organism previously present in the Periapical tissues following obturation,Persist and stimulate the formation of a granuloma,Are eliminated by the natural defenses,Re-enter and re-infect the sterile canal and are removed by surgery,Are eliminated by the medicaments used in endodontic treatment.,b,B' [Grossman 12th ed 304]
Endodontics,4. DISINFECTION AND OBTURATION,9,The largest component of gutta percha cones is,Gutta percha,Zinc oxide,Resins and waxes,Colouring agents,b,"B' [Grossman 12th ed 279]
| Composition | % | Function |
|---|---|---|
| Guttapercha | 20% | Matrix |
| Zinc oxide | 66% | Filler |
| Heavy metal sulfates (Barium sulphates) | 11% | Radiopacifier |
| Waxes or resins | 3% | Plasticizer |"
Endodontics,4. DISINFECTION AND OBTURATION,10,The vertical fracture of root seen with gutta percha obturation is due to:,The vertical compression of warm GP points,Lateral condensation of GP points,Use of spreader,Injection molding technique,a&b,"A&B' [Cohen 10th ed 305/Letchirakam V, Palamara JE, Messer HH. Finite element analysis and strain guage studies of vertical root fracture. J endod 2003:29:529- 34]
Vertical root fractures can occur both in lateral and warm vertical compaction techniques. Infact more with lateral compaction. Increased wedging forces with LC accounts for 48-84% of VRF. Cohen says that forces developed with both techniques are almost same with wedging forces of 0.65Â±0.07 kg for WVC and 0.8Â±0.1 kg for LC."
Endodontics,4. DISINFECTION AND OBTURATION,11,Endo sealer containing polyketone is,Diaket,Cavit,Ah 26,Hydron,a,A' [Grossman 12th ed 284]
Endodontics,4. DISINFECTION AND OBTURATION,12,Corrosion of Silver cones is due to presence of,Cobalt,Tin,Nickel,zinc,c,"C' [Nisha Garg 3rd ed 286]
Silver cones contain traces of metals like copper, nickel which add up the corrosion of the silver points."
Endodontics,4. DISINFECTION AND OBTURATION,13,High heat obturation technique refers to:,Thermofill technique,Ultrafil technique,Sectional filling,Obtura II technique,d,D' [Grossman 12th ed 292]
Endodontics,4. DISINFECTION AND OBTURATION,14,EDTA C is?,EDTA plus cetavlon,EDTGA plus cetrimide,EDTA plus ciprofloxacin,EDTA texapon,a,A' [Check Explanation of Q.No.34]
Endodontics,4. DISINFECTION AND OBTURATION,15,Gutta-percha is radio-opaque due to presence of:,Zinc oxide eugenol,Barium sulphate,Potassium sulphate,Barium oxide,b,B' [Ingle 6th ed 1020]
Endodontics,4. DISINFECTION AND OBTURATION,16,The crown of an RC treated tooth is fractured near the gingival margin. The coronal end of the silver cone used in filling that canal is visible at that level. Treatment is:,To prepare post space alongside the silver cone using burs and Peso reamers,To grind away the coronal part of silver cone using round burs or end cutting burs,To remove the silver cone and re-treat the canal using a gutta-percha; and then to create the needed post space,"To remove the silver cone, notch it, coat it with a freshly mixed sealer replace it in the canal and twist off the coronal segment",c,C' [Grossman 12th ed 440]
Endodontics,4. DISINFECTION AND OBTURATION,17,"For lateral condensation of gutta-percha, the spreader should be pre-fitted to:",At working length (WL),Radiographic WL,0.5 to 1 mm short of WL,1-2 mm short of WL,d,"D' [Cohen 10th ed 368]
Spreader should be selected such that it is to be inserted to within 1-2 mm from the working length. When introduced into the canal with the master-cone in place, it should be within 2 mm of the working length. There appears to be a correlation between establishing a seal. and spreader penetration."
Endodontics,4. DISINFECTION AND OBTURATION,18,Which of the following needle is used for irrigation?,23,25,27,29,c,"C' [Cohen 10th ed 246]
â¢ Larger diameter needles (23 to 24 gauge) are less efficient during irrigation as they are placed at a greater distance from the apex.
â¢ Smaller diameter needles (24 to 30 guage) can be placed closer to the apex and so they are efficient. 27 guage which has an external diameter of 0.40 mm are the most commonly used needles in endodontics.
â¢ Special 30 gauge needles like stropko Flexi tip (NiTi), Max-I-probe, Navi tips are also available."
Endodontics,4. DISINFECTION AND OBTURATION,19,The main objective of obturation is:,Fill the canal and prevent apical percolation of fluids,Fill the canal and prevent discolouration of teeth,Fill the canal to give support to restoration,All of the above,a,A' [Grossman 12th ed 278]
Endodontics,4. DISINFECTION AND OBTURATION,20,Best method of condensation,Lateral condensation,Thermoplasticized,Vertical condensation,None of above,b>a,"B>A' [Grossman 12th ed 283-84]
i) Lateral Condensation:
â¢ In this technique a primary or master gutta-percha cone is placed in the canal and the remaining space is filled by accessory or secondary cones with the help of spreaders and pluggers.
â¢ Most traditionally used. However, in contemporary endodontics it is not the best technique to achieve a three dimensional seal.
ii) Vertical condensation or warm guttapercha technique.
â¢ Introduced by Schilder
â¢ Used with step back technique of root canal preparation
â¢ After placing the guttapercha cone vertical force is applied with heated pluggers so that the guttapercha cones fill the lumen of the canal in all the three dimensions upto the apical foramen.
â¢ Risk of vertical root fracture is main disadvantage of this technique.
iii) Sectional method
â¢ This technique uses sections of gutta-percha cones to fill a section of the root canal. Void between the sections is the main disadvantage.
iv) Mcspadden compaction methods:
â¢ A rotating compacting instrument, which is similar to hedstroem file with the flutes in reverse direction, attached to a slow speed contra angle hand piece with 8000 - 10000 r.p.m, creates heat. The compactor forces the softened guttapercha apically and laterally.
v) Chemically plasticized guttapercha
â¢ Used in fine tortuous canals. Guttapercha is softened by chemical solvents like chloroform, euclapytol or xylol and is forced into fine, tortuous canal.
vi) Thermoplastic technique
â¢ Uses more heat to increase the plasticity of guttapercha and enable the operator to fill the root canal by using less pressure."
Endodontics,4. DISINFECTION AND OBTURATION,21,Which of the following can be used as root canal filling materials,Cements and plastic materials,G.P. Points,Silver points,All of the above,d,"D' [Grossman 12th ed 283, 285]
Cements like ZOE, Calcium hydroxide are used as obturating materials in primary teeth. Silver points are indicated in fine, tortuous canals. Guttapercha is the most commonly used obturating material. It is difficult to introduce guttapercha into a narrow root canal and it does not seal a canal apically or laterally unless it is combined with a root canal cement or sealer."
Endodontics,4. DISINFECTION AND OBTURATION,22,Bismuth compounds are incorporated in root canal filling materials because they are:,Radio-opaque,Germicidal,Radiolucent,Adhesive,a,"A' [Grossman 12th ed 280]
Heavy metal compounds like bismuth are added as radiopacifiers."
Endodontics,4. DISINFECTION AND OBTURATION,23,Most common cause of RCT failure,Incomplete removal of PA cyst,Non-obturation of accessory canals,Incomplete debridement with improper obturation,Large size of PA pathology,c,C' [Cohen 10th ed 349]
Endodontics,4. DISINFECTION AND OBTURATION,24,In post core which of following gutta-percha technique is used,Thermoplasticized,Vertical,Sectional,Lateral,c,"C' [Grossman 11th ed 247]
Silver cones are contraindicated in filling a root canal if the tooth is to be restored with a post and core. Guttapercha is indicated as obturating material in these cases. Ideally the length of dowel or post should be 2/3rd of the root canal."
Endodontics,4. DISINFECTION AND OBTURATION,25,Disinfection of root canal obtained with,Irrigation,Debridement,Intracanal medicament,All of above,d,D' [Grossman 12th ed 272]
Endodontics,4. DISINFECTION AND OBTURATION,26,Calcium hydroxide is advocated as an inter appointment intracanal medication because of,Its ability to dissolve necrotic tissue,Its antimicrobial property,Its ability to stimulate hard tissue formation,Its powerful bleaching effect,b,B' [Grossman 12th ed 272]
Endodontics,4. DISINFECTION AND OBTURATION,27,Rejuvenation of gutta-percha can be changed from a to b form at,55-59Â°F,55-59Â°C,20-25Â°C,20-25Â°F,b,B' [Grossman 12th ed 281]
Endodontics,4. DISINFECTION AND OBTURATION,28,The flutes of McSpadden Compactor are similar to:,Lentulo Spiral fillers,Engine driven reamers,Flutes of Hedstorem in reverse,K-Flex file,c,"C' [Grossman 12th ed 291]
Refer Q.No. 20 Mc Spadden compaction method."
Endodontics,4. DISINFECTION AND OBTURATION,29,Fall in alkalinity of Ca(OH)2 when used as dressing starts at,1 week,2 week,4 week,12 week,a,A' [Grossman 12th ed 273]
Endodontics,4. DISINFECTION AND OBTURATION,30,The primary gutta-percha cone must fill the canal wall tightly in the:,apical third,middle third,cervical third,entire canal,a,"A' [Ingle 5th ed 601, 602/ Grossman 12th ed 283, 284]"
Endodontics,4. DISINFECTION AND OBTURATION,31,The periapical radiograph of RCT treated tooth shows wiggly apical seal of master cone is due to:,Apical perforation of master cone,Excess cement in apical region,Obstruction of master cone at apical third,Short master cone in apical third,d,D' [Still Searching]
Endodontics,4. DISINFECTION AND OBTURATION,32,An ideal result of endodontic treatment is deposition of which of the following at the apex:,Bone,Cementum deposition,Dentin,Periodontal ligment,b,"B' [Ingle 5th ed 653]
Following well-executed treatment, when infection is terminated, cementoblasts and periodontal ligament slowly resurface the damaged root and even close minor foramina that no longer contain neurovascular bundles."
Endodontics,4. DISINFECTION AND OBTURATION,33,All are true for root canal sealer except:,Excessive use of sealer tends to extrusion in periapical areas,Sealer mediates immune reaction in perapical region,Loss of sealer causes porosity between root filter and tooth surfaces,Sealer occupies the space between root filler and tooth surfaces,b,"B' [Ingle 5th ed 368, 369]
Root canal sealer containing paraformaldehyde in any form is strictly contraindicated."
Endodontics,4. DISINFECTION AND OBTURATION,34,Which is not a eugenol sealer?,Grossman sealer,AH-26,Tubli seal,Wach's paste,b,"B' [Ingle 5th ed 581/ Grossman 12th ed 301,303]
EWT (Extended Working Time), Roth's sealer, Tubliseal, Wach's cement, MCS (Medicated canal sealer) and Nogenol are different modifications of ZOE cements. CRCS (Calciobiotic root canal sealer), Sealapex, Life, Apexit, Imbiseal, Vitapex are calcium hydroxide sealers. Diaket and AH-26 are examples of plastic and resin cement. Ketac-endo is GIC cement developed for endodontics. AH-26 is an epoxy resin containing a non-toxic hardener. Its radiopacity is imparted to it by bismuth oxide. It has strong adhesive properties and contracts slightly while hardening."
Endodontics,4. DISINFECTION AND OBTURATION,35,MTA is used for,Apexification only of any dentition,Apexification of primary tooth only,Apexification of permanent tooth only,Apexogenesis of any dentition,d,"D' [Ingle 6th ed 1315]
Applications of Mineral Trioxide Aggregate:
â¢ Vital pulp therapy or Apexogenesis of any dentition.
â¢ Apexification of permanent dentition
â¢ Root end filling material
â¢ Repair of perforations
â¢ Repair of incomplete vertical root fractures
â¢ Repair of root resorptions
â¢ Obturating material"
Endodontics,4. DISINFECTION AND OBTURATION,36,When is an application of heated injected gutta percha potentially beneficial,when there is an open apex,when there are aberrations or irregularities of the canal,when the clinician cannot master lateral condensation,when the canals are curved and small after preparation,b,"B' [Cohen 9th ed 382]
Injectable guttapercha is especially beneficial when managing canal irregularities such as fins, webs, cul-de-sacs, internal resorption, C-shaped canals, accessory or lateral canals. It is not indicated in case of open apices where there is potential for extrusion and damaging the periodontium."
Endodontics,4. DISINFECTION AND OBTURATION,37,Addition of synthetic resins to zinc oxide eugenol cement is said to,Increase the strength,Reduce solubility,Reduce film thickness,None of the above,a,"A' [Marzouk 1st ed 261]
Addition of synthetic resins (IRM, Kalzinol) increases the strength and decreases solubility."
Endodontics,4. DISINFECTION AND OBTURATION,38,With obtura II system which has a high temperature gutta-percha but cools to,70Â°C,110Â°C,130Â°C,160Â°C,a,"A' [Grossman 12th ed 292,293]
Guttapercha is heated to 185-200Â°C, a needle is used to deliver the guttapercha. The guttapercha cools rapidly to 70Â°C and hardens within 1 min."
Endodontics,4. DISINFECTION AND OBTURATION,39,Thermafil is,An endodontic obturater,An enlarging instrument,An instrument to remove pulp,Is a cold gutta percha technique,a,"A' [Cohen 9th ed 386/ Grossman 12th ed 297]
Thermafill contains a centre carrier (plastic / stainless steel) which is grooved along 600 of their circumference and has a coating of guttapercha. This is heated in a specific oven (Thermaprep oven) and used for obturation."
Endodontics,4. DISINFECTION AND OBTURATION,40,High heat obturation technique refers to,Thermofill,Ultrafill,Sectional filling,Obtura II,d,D' [Cohen 8th ed 345/ Grossman 12th ed 292]
Endodontics,4. DISINFECTION AND OBTURATION,41,Which of the following is urethane dimethacrylate (UDMA) resin based endosealer?,Endorez,Real seal,Raeko sealer,Tubli seal,a,"A' [Cohen 9th ed 269]
Endorez is a visible light curable urethane dimethacrylate resin based sealer. It is hydrophilic and penetrates deep into dentinal tubules thereby reducing the microbial leakage."
Endodontics,4. DISINFECTION AND OBTURATION,42,Most recent form of MTA used as an intracanal irrigant?,MTA-A,MTA-C,MTA-D,MTA-E,c,"C' [Cohen 9th ed 258, 322/ Grossman 12th ed 270]
MTA-D is a recently introduced irrigation solution. It is a mixture of Doxycycline, an acid (citric acid) and a detergent. In-vitro experiments indicates that MTA-D has potential for removal of smear layer and highly effective in killing E-fecalis."
Endodontics,4. DISINFECTION AND OBTURATION,43,The advantage of silver point as obturating material is that it,Can be used in fine tortuous canals,Is easier to retrieve if retreatment becomes necessary,Gives a perfect seal at the apical 1/3rd of the root canal,Provides better adaptation to canal walls compared to Gutta Percha,a,"A' [Grossman 12th ed 281]
As silver cone is stiffer than gutta-percha, it can be easily inserted into a fine tortuous canal."
Endodontics,4. DISINFECTION AND OBTURATION,44,Vertical compaction of warm gutta-percha technique was given by?,Grossman,Ingle,Schilder,Cohen,c,"C' [Grossman 11th ed 287]
The warm vertical condensation or warm gutta-percha technique of filling root canals was introduced by Schilder with the objective of filling lateral and accessory canals along with the main canal."
Endodontics,4. DISINFECTION AND OBTURATION,45,Extrusion of sealer from root apex will cause,Irritate tissue and delay healing,Stain periapical tissue,Resorb the root,Lead to closure of apex,a,A' [Cohen 10th ed 425]
Endodontics,4. DISINFECTION AND OBTURATION,46,Master cone is,Fully snug fit with accurate working length,Used by master of staff,Instrument 1st using taking working length,Last file to fit loosely,a,A' [Cohen 8th ed 319/ Grossman 12th ed 283]
Endodontics,4. DISINFECTION AND OBTURATION,47,AH plus & AH 26 are,Root canal cements,Medicated root canal paste,Fillers,Root canal filling material,a,A' [Cohen 8th ed 553/ Grossman 12th ed 303]
Endodontics,4. DISINFECTION AND OBTURATION,48,True about vertical compaction technique is:,Softened heat & vertical compaction in three dimensions,One master cone & then filling,Cold plugger is used to make space,Softened by chemical & condense with hot plugger,a,A' [Explanation of Q.No.20]
Endodontics,4. DISINFECTION AND OBTURATION,49,All are true regarding ideal properties of root canal materials except:,Should slightly contract after setting,Should never resorb,Should exhibit adequate biocompatibility,Should not degrade over time,a,"A' [Grossman 12th ed 279]
Ideal requirements of a filling material are:
â¢ Easy to introduce and easy to remove from the root canal
â¢ Seal canal laterally as well as apically
â¢ Impervious to moisture
â¢ Should not shrink after insertion and should expand slightly after placement
â¢ Non-resorbable for an indefinite period of time
â¢ Should be bactericidal
â¢ Should not stain the tooth
â¢ Should not stain irritate periapex
â¢ Should be sterile or sterilizable
â¢ Preferably semisolid upon insertion and solid afterward
â¢ Radiopaque
â¢ Able to set in a reasonable period of time"
Endodontics,4. DISINFECTION AND OBTURATION,50,Silver cone used as a root canal filling material is indicated in,Narrow curved canals in which enlargement beyond a No.20 /25 instrument is unadvisable.,Large canals of anterior teeth,Surgical cases in which root resection is anticipated,Incomplete large or irregular canals of a young patient.,a,A' [Grossman 12th ed 281]
Endodontics,4. DISINFECTION AND OBTURATION,51,The Lorothidol added in non-eugenol paste has the function of,Bacteriostatic,Fungicide,Accelerator,Preservative,b,"B' [Shanthipriya reddy Periodontics 2nd ed 296]
2 Types of periodontal pacts are available. They are ZOE pack and non-eugenol pack.
â¢ Non-eugenol pack is based on the reaction between a metallic oxide and fatty acids. It is supplied in 2 tubes.
Composition of non-eugenol pack:
â¢ One tube contains zinc oxide, oil for plasticity, a gum for cohesiveness and lorothiodol a fungicide.
â¢ The other tube contains liquid coconut fatty acids thickened with rosin and chlorothymol. a bacteriostatic agent."
Endodontics,4. DISINFECTION AND OBTURATION,52,Advocated apical seal for dowel core is,2 mm,5 mm,8 mm,10 mm,b,"B' [Grossman 12th ed 447]
The minimum amount of GP that should be left during post space preparation for adequate apical seal is 4-5 mm."
Endodontics,4. DISINFECTION AND OBTURATION,53,The term TUG BACK is used to indicate,Good fit of accessory gutta-percha point at the apical third,Good fit of master gutta-percha point at the apical third,Good fit of accessory cone in the main body of the canal,Good fit of the initial file at the apical third,b,B' [Grossman 12th ed 283]
Endodontics,5. BLEACHING,1,The most common consequence of bleaching non vital teeth is,Discolouration,Cervical resorption,Apical periodontitis,Root resorption,b,"B' [Grossman 12th ed 349/ Sturdevant 4th ed 608]
Cervical resorption is a common consequence of bleaching of non-vital teeth whereas apical periodontitis is a common sequel of bleaching of vital teeth. The possibility of cervical resorption can be reduced by sealing the root canal orifice with cavit to prevent percolation of bleaching agent or by keeping a paste of calcium hydroxide and sterile water in the pulp chamber."
Endodontics,5. BLEACHING,2,Superoxol is,30% H2O2,Combination of H2O2 + sodium per borate,Combination of HCL + H2O2,None of the above,a,"A' [Ingle 6th ed 1389]
Superoxol is a 30% solution of hydrogen peroxide by weight and 100% by volume in pure distilled water. Superoxol is mixed with sodium perborate into a paste and is used in ""walking bleach"" procedure."
Endodontics,5. BLEACHING,3,Home bleach is also called as,Walking bleach,Thermocatalytic bleach,Power bleach,All of the above,a,"A' [Sturdevant 4th ed 609/ Grossman 12th ed 349]
I. Nonvital Bleaching Techniques.
â¢ Thermo catalytic or in office technique
â¢ Walking bleach or out of the office or home technique.
II. Vital Bleaching Techniques.
â¢ Power bleach or in office technique.
â¢ Night guard or dentist prescribed home technique."
Endodontics,5. BLEACHING,4,In the walking bleach technique:,It uses a heat treatment,It requires the patient to report in 24 hours,Can be done with 35 percent hydrogen peroxide,It uses a mixture of sodium perborate and hydrogen peroxide,d,"D' [Grossman 12th ed 349, Sturdevant 4th ed 609]
Option 'B' is in office vital bleach technique. Option 'D' is home vital bleach technique. Option 'A' walking bleach, the bleach material is kept in pulp chamber for up to 1 week and is known as at home nonvital bleach technique."
Endodontics,5. BLEACHING,5,When undertaking bleaching of vital teeth of the following are done except:,Prophylaxis,Use of protective eye glasses,Use of local anaesthesia,Polishing after treatment,c,C' [Grossman 12th ed 353. Sturdevant 4th ed 610]
