Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Endodontics,3. BIOMECHANICS,1,The root canal instrument most likely to break during use is a,File,Broach,Reamers,Spreaders,b,"[Grossman 12th ed 228]
Broaches break easily, if they bind in root canal. Because of this, they should not be inserted into root canal until the canal has been enlarged to a size of No. 20 or 25 reamer or file."
Endodontics,3. BIOMECHANICS,2,While root canal biomechanical preparation apical constriction is enlarged to 50 sized instrument. You would like to,Use reverse filling technique,Reinstrument with larger instrument 1mm short of previous preparation,Fit a 50 mm cone and condense carefully,Fill with 40 sized cone,b,"[Grossman 12th ed 257]
This procedure maintains apical constriction and prevents over extension of obturation material."
Endodontics,3. BIOMECHANICS,3,Schielder principle is,Minimal enlarged apical foramen,Shape of the canal can be changed,Use of 3-5 times larger than first binding file,Original canal curvature should be altered to make it compatible with obturating material,a,[Check Explanation of Q.No.92]
Endodontics,3. BIOMECHANICS,4,Anderson and Hillman in 1971 introduced this into orthodontics?,Beta-NiTi,NiTinol,Chinese NiTi,Sentalloy,b,"[Check Explanation Below]
In 1971, Anderson and Hillman introduced NiTinol in Orthodontics. In 1988, Walia etal in traduced NiTi in endodontics."
Endodontics,3. BIOMECHANICS,5,The most effective means of reducing microbes in root canal,Frequent medication of root canal,Complete debridement through instrumentation,Systemic antibiotics,All of the above,b,[Grossman 12th ed 263]
Endodontics,3. BIOMECHANICS,6,A giromatic hand piece for endodontic instrumentation operates by a:,Rotating motion,Oscillating motion,Zig-Zag motion,All of the above,b,"[Grossman 12th ed 230]
Giromatic and Racer, both are contra-angle engine driven instruments. Giromatic hand piece uses a barbed broach or reamer through 90Â° reciprocating arc at a speed of 1000 cycles/min. The racer hand piece uses a standard file and oscillates the file in root canal. These instruments can be used for opening root canals but should not be used for canal preparation because root canals prepared by hand instruments are superior in shape and smoothness."
Endodontics,3. BIOMECHANICS,7,File is manufactured from a:,Triangular blank,Round blank,Square blank,Diamond shaped blank,c,"[Grossman 12th ed 228]
File contains more number of flutes and is a four sided instrument because of which it is highly resistant to torque. The file contains more metal and is least likely to break in a root canal. The barbed broach is used for extirpation of pulp and most likely to break in a root canal WHEN TWISTED MORE than 90Â° (PGI-95)."
Endodontics,3. BIOMECHANICS,8,The difference between a reamer and a file is in:,The number of flutes,The number of flutes and shape of the shaft,The number of flutes and the size of the shaft,The shape and size of the shaft,b,"[Grossman 12th ed 228]
| REAMER | FILE |
|---|---|
| Made up of triangular blank | Made up of square blank |
| Contains less number of flutes for a unit length | Contains more number of flutes for a unit length |
| High cutting efficiency and more prone to fracture than file | Less cutting efficiency and more resistant to torque |
| Used with pushing and rotating motion | Used with rasping or pulling motion |"
Endodontics,3. BIOMECHANICS,9,The best instrument for cutting dentin is,Reamer,File,Broach,Explorer,b,"[Grossman 12th ed 251]
Root canal instruments cut dentin more effectively in a wet environment and the wet debris and dentin are removed from the canal by clinging to instrument."
Endodontics,3. BIOMECHANICS,10,To prevent the fracture of an endodontic instrument the number of turns given inside the canal in a single motion should be:,Less than 1/4 of a turn,1/4 to 1/2 turn,1/2 of a turn,More than 1/2 turn,b,"[Grossman 12th ed 230]
The instruments should be used with a 1/4 - 1/2 turn and withdrawn with a pull stroke to prevent their fracture."
Endodontics,3. BIOMECHANICS,11,First instrument inserted into the root canal through the access cavity is,Barbed broach,H file,K file,Any of the above,c,"[Grossman 12th ed 241]
Once the canal is penetrated, smooth broach or 10 to 20 numbered k-files are used for exploration. These instruments are flexible enough to follow root curvatures and stiff enough to reach the root apex."
Endodontics,3. BIOMECHANICS,12,Difference between physical characteristic of reamers and files is:,The cross-section of reamers in square and files are triangular in cross-section,The number of flutes on the blade are more in files than in reamers,The reamers have more flutes in the blade,Files have two superficial grooves to produce flutes in a double helix design,b,"[Grossman 12th ed 228]
| Conventional file | Square blank | Less cutting efficiency than reamer |
|---|---|---|
| K-Flex file | Rhomboidal/ diamond shaped with alternating high and low flutes | High flexibility and cutting efficiency |
| Headstroem or H-Files | Made from round blank and contains spiral flutes | Higher cutting efficiency and more prone to fracture |
| Unifile | Made from round blank to produce Flutes in double helix pattern | Less cutting efficiency, more resistance to fracture |"
Endodontics,3. BIOMECHANICS,13,Gates-Glidden drill is:,Flexible and used at low speed,Flexible and used at high speed,Inflexible and used at low speed,Inflexible and used at high speed,c,"[Grossman 12th ed 232]
Gates Glidden drill and Peeso reamer are the two types of power driven instruments.
Gates-Glidden drill is used:
â¢ to remove lingual shoulder (PGI-96) during access cavity preparation in anterior teeth.
â¢ to create radicular access by enlarging root canal orifices.
â¢ for shaping cervical third of R.C in step-back preparation.
Peso reamer is used for post space preparation. Both Gates Glidden drill and peso reamer are aggressive cutting instruments and inflexible and should be used at low speed with extreme caution."
Endodontics,3. BIOMECHANICS,14,"Which of the following is a disinfectant, sterilizing agent and an antiseptic?",Sodium hypochlorite,Glutaraldehyde,Hydrogen peroxide,Methylated spirit,a,"[Grossman 12th ed 226]
Sodium hypochlorite is most effective among five halogen antiseptics. It acts as
â¢ lubricant during instrumentation in root canal.
â¢ solvent for dissolution of pulp
â¢ antiseptic and disinfectant by combining both protoplasm of bacterial cell and destroying it.
â¢ bleaching agent by releasing nascent oxygen.
NaOCl has been reported to cause dentine discolouration, although it is a bleaching agent. This discolouration is a result of its contact with erythrocytes and its high tendency to crystallize on the root dentine, which may mean that it is difficult to completely remove from the canal. In addition, the combination of NaOCl with other adjunct irrigating solutions has been found to cause marked tooth discolourations.
False about sodium hypochlorite? (AIPG-2015)
a) Chelation
b) Antimicrobial effect
c) Tissue dissolving property
d) Can stain dentin
Ans: a"
Endodontics,3. BIOMECHANICS,15,The shape of head of a Gates Glidden drill is,Flame shaped,Cone shaped,Ball shaped,Diamond shaped,a,"[Nisha Garg 3rd ed 155]
GG drills are flame (elliptical) shaped burs with a latch attachment."
Endodontics,3. BIOMECHANICS,16,Endosonics utilizes which instrument?,H file,K file,Endo box,Reamers,b,"[Grossman 12th ed 231]
Ultrasonic and sonic instruments are used for cleaning and shaping root canals. The ultrasonic instrument contains a magentostrictive hand piece which hold a K-file or diamond file. It is operated at 20000-25000/ sec.
The sonic instruments operate at 1500 - 6500 cycles/ min (25-110/sec.). Ultrasonic system uses sodium hypochlorite as irrigant, whereas the sonic system uses water as an irrigant.
The irrigating solution used with ultrasonic instruments used for preparation of the root canal is (COMEDK-15)
a) Sodium hypochlorite
b) Normal saline
c) Hydrogen peroxide
d) Chloramine
Ans: a"
Endodontics,3. BIOMECHANICS,17,An endodontic reamer is least likely to fracture when inserted in a:,"Dry, clean canal","Wet, clean canal","Wet, debris laden canal","Dry, debris laden canal",a,"[Check Explanation Below]
Reamer contain sharp cutting edges that are spaced further apart than the file and therefore it is engaged in dentin more rapidly and readily facilitates dentin removal."
