Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Orthodontics,Cephalometry,1,FHP is formed by joining,Porion and Orbitale,Nasion and sella,Porion and sella,Porion and Nasion,A,'A' [Bhalajhi 3rd ed 148] FHP or Frankfort horizontal plane is formed by joining Porion and Orbitale.,
Orthodontics,Cephalometry,2,Most anterior part of the chin is,Gonion,Pogonion,Menton,Gnathion,B,'B' [Bhalajhi 3rd ed 148] Pogonion is the most anterior point on the contour of the chin (bony chin). Menton is the most inferior point. Gnathion is constructed point at the junction of ramal and mandibular plane. Gonion is the most posterior inferior point on the angle of the mandible.,
Orthodontics,Cephalometry,3,"Gonion, menton and pogonion are located on",Midline landmarks,Mandible,Maxilla,Skeletal profile,B,"'B' [Bhalajhi 3rd ed 148] Gonion, menton and pogonion are all located on the Mandible. They are midline landmarks present on the mandible.",
Orthodontics,Cephalometry,4,"In a lateral cephalogram, the distance at which the film is placed from the mid-sagittal plane is:",10 cms,12 cms,13 cms,18 cms,D,'D' [Check Explanation Below] The distance between the mid-sagittal plane of the patient's head and the film is 18 cms (approximately 6 feet / 152.4 cm is the distance between X-ray tube and midsagittal plane of patient's head). While taking radiographs the operator should stand at a distance of approximately 6 feet. The distance between X-ray tube and midsagittal plane of patients head is 5 feet/ 60 inches/ 152.4 cm. The distance of 18 cms is between the midsagittal plane and the film/cassette.,
Orthodontics,Cephalometry,5,The three landmarks which determine skeletal convexity are:,"Glabella, prosthion and supramentale","Nasion, sella and articulare","Nasion, subspinale and pogonion","Orbitale, anterior nasal spine and pogonion",C,'C' [Bhalajhi 3rd ed 148 Fig 3(B)] Angle of convexity (N-A-Pog) is formed by intersection of a line from nasion to point A (subspinale) and a line from point A to pogonion. The average value is 0° while the range is -8.5 to 10° (0 ± 10).,
Orthodontics,Cephalometry,6,Which of the following is a bilateral landmark on the lateral cephalogram,Basion,Pogonion,Gonion,Nasion,C,"'C' [Bhalajhi 3rd ed 148] In lateral cephalogram, the cassette is always on the right side of the patient and is viewed more clearly. Gonion is a bilateral landmark. Unilateral Landmarks (Present in the midline): Nasion, Menton, Gnathion, Basion, Pogonion. Bilateral Landmarks: Gonion, Porion, Articulare.",
Orthodontics,Cephalometry,7,Pogonion is,Most inferior point on the contour of the chin,Lowest point on the symphyseal outline,Most posterior inferior point on the angle of the mandible,Anterior most point on the contour of the chin,D,'D' [Bhalajhi 3rd ed 148] Pogonion is the anterior most point on the contour of the chin (bony chin). It is the most anterior point of the bony chin. Menton is the lowest point on the symphyseal outline (most inferior point). Gonion is the most posterior inferior point on the angle of the mandible.,
Orthodontics,Cephalometry,8,An ANB angle 2° on the cephalogram usually indicates,An unfavorable relationship of mandible to maxilla,A favorable relationship of maxillary alveolar base to mandibular alveolar base,Poor cranial growth with poor prognosis,Retruded maxillary incisor,B,'B' [Bhalajhi 3rd ed 154] SNA angle relates maxilla to the cranial base. The mean value is 82°. A larger value indicates prognathic maxilla while a smaller value is suggestive of retrognathic maxilla. SNB angle relates mandible to cranial base. It average while the smaller values indicates retrognathic mandible whereas larger values indicates reclusive mandible. ANB angle denotes the relative position of maxilla and mandible to each other. Mean value is 2°. An increase in this angle indicates class-II skeletal tendency (AIIMS-14) while an angle that is less than normal or a negative angle is suggestive of a skeletal class-III relationship.,
Orthodontics,Cephalometry,9,An 8 year old boy reports to the clinic with his parents concerned about his prominent chin and lower half of the face. On extra oral examination patient has mild Class III skeletal pattern. On intra oral examination patient has reverse overjet. Cephalometric values show SNA is 80 degrees and SNB is 82 degrees. Father of the child also has mild skeletal class III profile.,,,,,,"This is a case scenario question with sub-parts 9A, 9B, 9C, 9D listed below.",
Orthodontics,Cephalometry,9A,The possible cause of reverse overjet,Forward displacement of mandible due to occlusal prematurities,Forward pattern of mandibular growth,None of the above,Both A and B,D,"'D' [Check Explanation Below] The answer given by COMEDK university is A and B, but nowhere the question includes any clue about occlusal prematurities or pseudo class III occlusion like forward path of closure or habitual posture. Even according to this statement given by authors 'On cephalometric analysis, pseudo class III malocclusion shows a normal SNA. If diagnosed early, whereas SNB could be slightly increased because of forward positioning of mandible'. It is not possible to say the patient is pseudo class III as the patient is just 8 yrs old and the remaining questions were framed under the assumption that the patient had occlusal prematurities.",
